Year,Region,Current residence,Population (1yr ago) Est,Same house (1yr ago) Est,Same state of residence (1yr ago) Est,Different state of residence (1yr ago) Total Est,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Abroad(1yr ago) Est
2018.0,South_states,Florida,21092877.0,17863603.0,2420485.0,587261.0,12870.0,1388.0,4542.0,3239.0,26888.0,15746.0,18291.0,4124.0,983.0,,35350.0,3008.0,1594.0,27622.0,11784.0,3538.0,2970.0,11330.0,4389.0,2783.0,15173.0,20314.0,20852.0,6820.0,2984.0,9774.0,1007.0,3893.0,3772.0,5137.0,30105.0,2558.0,63033.0,26708.0,1485.0,22452.0,3190.0,3639.0,31712.0,4219.0,15250.0,3062.0,13285.0,24197.0,3558.0,1723.0,31798.0,9045.0,5760.0,7573.0,744.0,221528.0
2018.0,South_states,Georgia,10410462.0,8909803.0,1174523.0,274273.0,15589.0,917.0,2255.0,1900.0,16745.0,3497.0,5574.0,520.0,571.0,51020.0,,2335.0,193.0,6146.0,4151.0,1995.0,1110.0,2027.0,3082.0,89.0,5797.0,2577.0,5592.0,1042.0,2967.0,2889.0,1018.0,2097.0,674.0,103.0,9055.0,1619.0,10754.0,16957.0,364.0,6935.0,3297.0,909.0,4527.0,196.0,16328.0,522.0,18283.0,22746.0,1123.0,431.0,6992.0,3520.0,1277.0,2627.0,1339.0,51863.0
2018.0,West_states,Hawaii,1403653.0,1211015.0,125172.0,54074.0,484.0,1509.0,2167.0,0.0,10456.0,3164.0,114.0,52.0,768.0,3085.0,2192.0,,1027.0,583.0,306.0,586.0,1385.0,170.0,320.0,124.0,574.0,656.0,115.0,363.0,219.0,1129.0,165.0,481.0,502.0,0.0,24.0,122.0,1416.0,843.0,0.0,510.0,1172.0,1615.0,580.0,0.0,1072.0,50.0,723.0,4180.0,413.0,0.0,3987.0,4351.0,0.0,142.0,178.0,13392.0
2018.0,West_states,Idaho,1734756.0,1438727.0,209540.0,79765.0,84.0,1179.0,3852.0,496.0,21018.0,1505.0,1905.0,0.0,0.0,1406.0,436.0,0.0,,120.0,521.0,178.0,571.0,40.0,264.0,0.0,75.0,0.0,212.0,631.0,209.0,359.0,2880.0,146.0,3736.0,0.0,27.0,181.0,2943.0,1331.0,261.0,82.0,795.0,4735.0,937.0,0.0,62.0,0.0,482.0,2605.0,6626.0,64.0,804.0,14955.0,154.0,42.0,856.0,6724.0
2018.0,Midwest_states,Illinois,12599244.0,11029483.0,1295596.0,206620.0,1280.0,1400.0,5818.0,1188.0,16518.0,3208.0,1911.0,9.0,1020.0,13561.0,4106.0,459.0,1093.0,,16223.0,7727.0,2047.0,3289.0,2373.0,0.0,3011.0,3956.0,9210.0,4498.0,2169.0,15055.0,317.0,881.0,1555.0,42.0,3488.0,1041.0,8838.0,4544.0,540.0,6423.0,1041.0,1112.0,5261.0,414.0,3542.0,746.0,7084.0,13412.0,2642.0,76.0,4710.0,2855.0,869.0,13965.0,93.0,67545.0
2018.0,Midwest_states,Indiana,6612948.0,5614432.0,821113.0,145256.0,966.0,138.0,3009.0,1271.0,6811.0,4695.0,722.0,868.0,32.0,8650.0,4525.0,47.0,887.0,31556.0,,311.0,918.0,9224.0,747.0,128.0,1192.0,1010.0,7972.0,1345.0,1134.0,4404.0,248.0,286.0,1470.0,348.0,2482.0,666.0,1512.0,2589.0,0.0,14794.0,1316.0,1020.0,2764.0,0.0,2473.0,0.0,5409.0,6321.0,608.0,30.0,2453.0,1192.0,477.0,3228.0,1008.0,32147.0
2018.0,Midwest_states,Iowa,3119306.0,2662849.0,371285.0,74199.0,148.0,66.0,2021.0,410.0,4408.0,4856.0,23.0,0.0,382.0,1931.0,140.0,689.0,111.0,15699.0,1251.0,,2274.0,393.0,360.0,101.0,0.0,514.0,1504.0,6286.0,379.0,4338.0,499.0,8119.0,817.0,0.0,20.0,358.0,438.0,502.0,495.0,969.0,711.0,173.0,367.0,0.0,174.0,1664.0,588.0,3400.0,506.0,0.0,298.0,1244.0,0.0,4333.0,240.0,10973.0
2018.0,Midwest_states,Kansas,2874208.0,2392841.0,371025.0,95748.0,476.0,378.0,1801.0,1507.0,5660.0,3808.0,322.0,0.0,350.0,3991.0,1072.0,564.0,449.0,2839.0,731.0,3704.0,,739.0,1097.0,0.0,871.0,1424.0,825.0,835.0,176.0,27726.0,411.0,2042.0,636.0,0.0,613.0,683.0,1656.0,1178.0,0.0,3377.0,7757.0,456.0,967.0,0.0,287.0,381.0,1159.0,7554.0,1170.0,0.0,1368.0,1064.0,90.0,948.0,606.0,14594.0
2018.0,South_states,Kentucky,4414714.0,3744188.0,547535.0,110456.0,2055.0,115.0,1480.0,397.0,2052.0,1643.0,327.0,389.0,175.0,7426.0,3638.0,402.0,2215.0,5108.0,11241.0,265.0,3016.0,,722.0,118.0,1689.0,239.0,2912.0,434.0,407.0,2910.0,109.0,90.0,270.0,179.0,114.0,598.0,3283.0,3796.0,61.0,15246.0,1130.0,1044.0,1908.0,0.0,1440.0,132.0,12498.0,6360.0,1201.0,0.0,3673.0,1238.0,3776.0,935.0,0.0,12535.0
2018.0,South_states,Louisiana,4603081.0,4033845.0,474843.0,81355.0,1462.0,515.0,276.0,1653.0,5743.0,2397.0,584.0,53.0,196.0,2878.0,5901.0,1117.0,69.0,2205.0,458.0,100.0,1056.0,3041.0,,35.0,516.0,630.0,1637.0,274.0,7505.0,679.0,222.0,44.0,2065.0,0.0,629.0,1235.0,2106.0,813.0,0.0,963.0,469.0,609.0,687.0,0.0,1205.0,291.0,1561.0,23588.0,603.0,0.0,1330.0,884.0,567.0,407.0,97.0,13038.0
