Year,NAME,Home Value <$50k (%),Home Value $50k-$90k (%),Home Value $100k-$149k (%),Home Value $150k-$199k (%),Home Value $200k-$299k (%),Home Value $300k-$499k (%),Home Value $500k+ (%),Median Home Value ($)(1000X),2nd Mortgage or Equity Loan (%),2nd Mortgage Only (%),Equity Loan Only (%),Both 2nd & Equity Loan (%),No 2nd or Equity Loan (%),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Housing Cost (monthly) ($),Region,Population,Net Population Change,Net Migration,Net Migration Change
2018,Ohio,78304,360433,1176833,236677,51676,12430,8523,160.8,280049,43326,236723,7872,1636955,35384,107602,110962,206283,371517,336065,434287,322776,83.62899999999999,1375,2,11676341,16691,956,0.081933525
2018,South Carolina,37309,94765,455433,129503,41955,11002,10637,194.1,78529,11743,66786,2467,699608,20450,56030,55345,86275,157607,128904,151315,124678,77.141,418,3,5084156,62888,56397,11.16172859
2018,Georgia,52616,163318,898937,306655,97191,27667,21728,208.8,152359,37430,114929,4938,1410815,41903,89731,87352,149405,276299,245262,338840,339320,88.772,896,3,10511131,100801,56844,5.434037327
2018,Colorado,14187,17630,272153,413877,184283,56966,35260,383.4,128957,25263,103694,2604,862795,17931,37319,42818,77456,155216,157165,239397,267054,101.056,245,4,5691287,79402,53185,9.410632697
2018,Hawaii,1231,1559,13205,38659,53766,34790,27662,643.1,33084,3383,29701,1304,136484,3585,4148,5680,12052,22435,22830,44608,55534,113.39,18,4,1420593,-3800,-8498,-5.974018853
2018,South Dakota,6279,14192,81910,21037,4135,1021,749,188.8,12380,2221,10159,505,116438,1017,4462,7482,14481,25568,30367,29911,16035,83.662,169,2,878698,5830,1178,1.345082058
2018,Indiana,52303,234396,710148,127502,28818,8034,5089,153.8,135897,20300,115597,4155,1026238,22006,75032,75098,133027,242161,213587,248477,156902,78.796,1182,2,6695497,37419,19003,2.84612922
2018,Kentucky,32650,112746,406313,81113,19345,5451,3902,162.8,90322,16996,73326,2748,568450,17620,46048,47644,76589,130771,110699,139515,92634,77.34,1805,3,4461153,8885,1121,0.25153081
2018,Louisiana,26269,70644,376052,90015,19935,5601,5217,184.9,47413,13620,33793,1639,544681,15942,45791,39014,58396,105943,96938,130202,101507,81.863,755,3,4659690,-10870,-24483,-5.248090887
2018,Washington,15800,17276,367879,433752,212109,105414,81526,385.0,150758,26963,123795,4160,1078838,18257,44341,44737,92770,187307,191182,299783,355379,104.432,397,4,7523869,100507,70762,9.468241977
2018,Illinois,64155,233333,1081655,409749,131301,41771,40460,219.4,241192,40515,200677,7688,1753544,35155,94058,95658,168952,335047,308080,461509,503965,96.714,600,2,12723071,-55757,-93439,-7.328003299
2018,Iowa,24296,102701,328142,71618,12222,2396,1733,160.7,70190,17184,53006,3139,469779,8299,29059,30585,55628,107330,103098,127569,81540,83.99799999999999,286,2,3148618,7068,-2064,-0.6562622810000001
2018,New Hampshire,4085,6493,126744,80736,16962,4012,3044,278.6,33029,4171,28858,731,208316,3260,8036,10524,16028,34817,38661,66400,64350,105.339,56,1,1353465,4678,5076,3.756866495
2018,Rhode Island,2674,2961,94557,52966,11111,3930,3237,274.2,26371,4386,21985,791,144274,2071,7282,8060,13202,28907,27619,43220,41075,98.266,0,1,1058287,2614,1884,1.7824367540000001
2018,Arkansas,25906,88898,238302,42065,7997,3907,3060,148.3,27382,8104,19278,489,382264,11784,33638,30367,51783,81975,62311,81585,56692,73.52199999999999,1139,3,3009733,8388,2882,0.958896225
2018,Delaware,2690,4764,90290,53229,8937,3016,2499,267.0,20473,3645,16828,543,144409,3920,10195,8002,14651,32016,25841,37210,33590,87.16799999999999,89,3,965479,8656,7335,7.631475179
2018,Minnesota,22770,54159,597100,256265,66479,17073,11128,244.8,149130,34127,115003,4730,871114,13278,36475,40723,87675,166252,175149,264182,241240,98.831,383,2,5606249,40019,15822,2.8323168030000003
2018,Montana,5016,7376,86860,44075,14127,3709,3034,262.4,15917,3396,12521,935,147345,3000,10860,9456,19087,35936,29008,33197,23653,77.282,76,4,1060665,8183,6284,5.94752755
2018,Arizona,27115,43691,598719,280745,79458,23128,19646,256.6,100670,18716,81954,4349,967483,24645,63580,59040,111112,204448,175012,227398,207267,84.62799999999999,919,4,7158024,114016,92050,12.96293376
2018,Florida,74152,185507,1591788,710945,197240,65247,66085,247.0,303356,58290,245066,11514,2576094,81690,209722,184353,324338,536246,450785,572584,531246,80.372,1990,3,21244317,280704,267130,12.65781099
2018,Massachusetts,10873,8759,294869,400054,237561,82421,70962,406.9,199591,25030,174561,5179,900729,14336,34772,34321,60659,143466,143753,261353,412839,121.565,92,1,6882635,22846,11129,1.619656037
2018,District of Columbia,700,552,8147,24676,22666,16753,17685,627.0,14236,3043,11193,188,76755,1981,2580,1761,2662,8230,9267,18518,46180,151.14700000000002,0,3,701547,6641,2431,3.4816782230000003
2018,Utah,9409,5888,218789,184533,50940,13839,8499,310.0,72368,18174,54194,3070,416459,5152,18318,21123,39651,93726,89817,129122,94988,93.06,222,4,3153550,52508,21841,6.983988724
2018,New York,52902,188708,818165,563394,376377,177251,189594,341.9,325392,36035,289357,9880,2031119,39767,99223,91966,161036,338765,336915,551156,747563,108.546,1205,1,19530351,-59221,-125303,-6.406096454
