Year,Region,NAME,Population,Net Population Change,Net Migration,Net Migration Change
2011,0,United States,311556874,2235208,774165,2.493772776
2011,1,Northeast Region,55604223,224089,49272,0.887908915
2011,2,Midwest Region,67157800,183384,-64647,-0.963929501
2011,3,South Region,116006522,1139842,592249,5.130513155
2011,4,West Region,72788329,687893,197291,2.7233443530000003
2011,3,Alabama,4799069,13632,2772,0.578433568
2011,4,Alaska,722128,8218,422,0.58772818
2011,4,Arizona,6472643,65471,27551,4.278167039
2011,3,Arkansas,2940667,18703,9658,3.294766462
2011,4,California,37638369,318867,47853,1.276797203
2011,4,Colorado,5121108,73759,39632,7.795086315
2011,1,Connecticut,3588283,9169,869,0.242486917
2011,3,Delaware,907381,7788,4381,4.8489906330000005
2011,3,District of Columbia,619800,14574,9951,16.2461858
2011,3,Florida,19053237,207700,169141,8.925935177000001
2011,3,Georgia,9802431,90550,28820,2.95372955
2011,4,Hawaii,1379329,15366,6340,4.6221838580000005
2011,4,Idaho,1583910,13164,2069,1.311711959
2011,2,Illinois,12867454,26951,-33876,-2.635448628
2011,2,Indiana,6516528,26096,588,0.090413133
2011,2,Iowa,3066336,15591,5939,1.941775824
2011,2,Kansas,2869225,11035,-3903,-1.362918524
2011,3,Kentucky,4369821,21640,8862,2.033034633
2011,3,Louisiana,4575625,31093,9456,2.073648513
2011,1,Maine,1328284,655,1099,0.8275873490000001
2011,3,Maryland,5839419,50774,21004,3.612639215
2011,1,Massachusetts,6613583,47276,28245,4.286075225
2011,2,Michigan,9882412,4902,-19283,-1.951728352
2011,2,Minnesota,5346143,35315,6958,1.305811942
2011,3,Mississippi,2978731,8183,-2448,-0.822956866
2011,2,Missouri,6010275,14301,-5967,-0.993982384
2011,4,Montana,997316,6619,3732,3.754502611
2011,2,Nebraska,1840672,11130,1060,0.577622994
2011,4,Nevada,2712730,10325,-5259,-1.942333848
2011,1,New Hampshire,1320202,3440,1211,0.918480495
2011,1,New Jersey,8828117,28671,-6959,-0.789558942
2011,4,New Mexico,2080450,15898,4484,2.163569523
2011,1,New York,19499241,99363,6043,0.310701124
2011,3,North Carolina,9657592,83269,41981,4.365763888
2011,2,North Dakota,685225,10510,7286,10.71517861
2011,2,Ohio,11544663,5327,-21931,-1.90010405
2011,3,Oklahoma,3788379,28435,13643,3.614842661
2011,4,Oregon,3872036,34545,21653,5.617205829
2011,1,Pennsylvania,12745815,34655,19765,1.552816075
2011,1,Rhode Island,1053649,-310,-1563,-1.483198014
2011,3,South Carolina,4671994,36345,20816,4.472883199
2011,2,South Dakota,823579,7413,2911,3.550552068
2011,3,Tennessee,6399291,43980,25505,3.999340787
2011,3,Texas,25645629,403658,189731,7.45686572
2011,4,Utah,2814384,39052,2170,0.776425851
2011,1,Vermont,627049,1170,562,0.897098636
2011,3,Virginia,8101155,77456,35449,4.396815004
2011,4,Washington,6826627,83797,46859,6.906540181
2011,3,West Virginia,1856301,2062,3527,1.901071003
2011,2,Wisconsin,5705288,14813,-4429,-0.777306443
2011,4,Wyoming,567299,2812,-215,-0.379930482
2011,X,Puerto Rico,3678732,-42793,-53776,-14.53354931
