Year,Region,NAME,Population,Net Population Change,Net Migration,Net Migration Change
2016,0,United States,322941311,2306148,1046709,3.252788262
2016,1,Northeast Region,56042330,7646,-139563,-2.49048391
2016,2,Midwest Region,67987540,126957,-84347,-1.241783812
2016,3,South Region,122351760,1354419,869982,7.150073671
2016,4,West Region,76559681,817126,400637,5.261078373
2016,3,Alabama,4863525,11178,3620,0.745172435
2016,4,Alaska,741456,3958,-2882,-3.897349072
2016,4,Arizona,6941072,111396,82382,11.96478216
2016,3,Arkansas,2989918,11870,4435,1.486268521
2016,4,California,39167117,249072,19523,0.500043786
2016,4,Colorado,5539215,88592,58435,10.63436968
2016,1,Connecticut,3578141,-8981,-14824,-4.137740652
2016,3,Delaware,948921,7669,5087,5.382576092000001
2016,3,District of Columbia,685815,10415,5508,8.092770062
2016,3,Florida,20613477,404435,372675,18.25830493
2016,3,Georgia,10301890,123443,72782,7.107500233
2016,4,Hawaii,1427559,5507,-1857,-1.303335789
2016,4,Idaho,1682380,31321,21910,13.14558329
2016,2,Illinois,12820527,-38386,-88670,-6.905913836
2016,2,Indiana,6634304,25882,4600,0.6947210109999999
2016,2,Iowa,3131371,10411,166,0.053100196
2016,2,Kansas,2910844,1833,-10521,-3.615553996
2016,3,Kentucky,4438182,12206,3343,0.754273559
2016,3,Louisiana,4678135,13507,-6727,-1.440045092
2016,1,Maine,1331317,3055,4626,3.478746072
2016,3,Maryland,6003323,17761,-8296,-1.383948549
2016,1,Massachusetts,6823608,29380,14092,2.069638671
2016,2,Michigan,9950571,18856,573,0.05763924700000001
2016,2,Minnesota,5522744,40712,13722,2.493826317
2016,3,Mississippi,2987938,-533,-7182,-2.403449965
2016,2,Missouri,6087135,15403,-205,-0.033720247
2016,4,Montana,1040859,10384,7845,7.574828589
2016,2,Nebraska,1905616,14339,3908,2.058525221
2016,4,Nevada,2917563,50624,37516,12.9712117
2016,1,New Hampshire,1342307,5957,5489,4.098322406
2016,1,New Jersey,8870827,2878,-28928,-3.2615553630000003
2016,4,New Mexico,2091630,2339,-4728,-2.261702625
2016,1,New York,19633428,-21238,-105667,-5.379085073
2016,3,North Carolina,10154788,123142,91339,9.049542876
2016,2,North Dakota,754434,368,-4866,-6.45144183
2016,2,Ohio,11634370,16843,-3903,-0.335714544
2016,3,Oklahoma,3926331,16831,3339,0.852238901
2016,4,Oregon,4089976,74184,63721,15.72238436
2016,1,Pennsylvania,12782275,-2551,-12447,-0.973673159
2016,1,Rhode Island,1056770,705,-338,-0.319949262
2016,3,South Carolina,4957968,66030,55364,11.2415286
2016,2,South Dakota,862996,9008,4474,5.211463823
2016,3,Tennessee,6646010,54840,40190,6.072290322000001
2016,3,Texas,27914410,444354,231776,8.369711464
2016,4,Utah,3041868,60033,27156,9.016380788
2016,1,Vermont,623657,-1559,-1566,-2.5078610880000003
2016,3,Virginia,8410106,48298,10683,1.273915428
2016,4,Washington,7294771,131114,95817,13.254138
2016,3,West Virginia,1831023,-11027,-7954,-4.330978448
2016,2,Wisconsin,5772628,11688,-3625,-0.628599927
2016,4,Wyoming,584215,-1398,-4201,-7.182252434
2016,X,Puerto Rico,3406672,-66560,-68278,-19.84853277
