Year,State,Home Value <$50k (%),Home Value $50k-$90k (%),Home Value $100k-$149k (%),Home Value $150k-$199k (%),Home Value $200k-$299k (%),Home Value $300k-$499k (%),Home Value $500k+ (%),Median Home Value ($)(1000X),2nd Mortgage or Equity Loan (%),2nd Mortgage Only (%),Equity Loan Only (%),Both 2nd & Equity Loan (%),No 2nd or Equity Loan (%),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Housing Cost (monthly) ($),Median Real Estate Taxes ($)
2014,Alabama,8.8,21.6,21.5,17.2,18.2,9.7,3.0,145.7,12.6,3.3,9.3,0.6,86.8,3.2,9.9,8.2,14.0,20.9,15.3,18.0,10.5,66.546,1119,603
2014,Alaska,2.6,2.5,5.7,15.4,35.6,30.9,7.4,268.7,8.8,2.3,6.5,0.5,90.7,1.5,3.0,2.7,7.3,18.1,15.5,28.6,23.4,102.659,1797,3260
2014,Arizona,4.9,11.0,16.7,19.0,22.4,17.7,8.3,194.9,12.5,3.0,9.5,0.5,87.0,2.9,7.6,7.6,12.7,20.7,15.3,18.6,14.6,72.609,1273,1401
2014,Arkansas,10.4,26.2,23.4,17.2,13.6,6.9,2.4,128.2,7.3,2.5,4.8,0.2,92.5,2.5,9.7,9.2,15.7,21.6,15.6,16.5,9.2,63.705,995,835
2014,California,2.7,2.1,4.1,6.2,14.7,30.0,40.2,427.7,17.0,4.1,12.9,0.8,82.1,2.1,5.4,5.0,8.5,16.0,14.8,21.8,26.4,96.305,2068,3548
2014,Colorado,3.5,4.0,8.2,15.6,28.1,26.9,13.6,263.5,16.3,6.0,10.4,0.7,82.9,2.0,5.4,5.5,9.7,19.3,16.5,22.2,19.4,86.219,1536,1560
2014,Connecticut,2.8,2.7,9.3,15.8,27.1,26.1,16.3,271.0,20.6,4.0,16.6,0.5,78.9,1.4,3.5,4.0,7.8,15.2,16.2,24.0,27.9,102.375,1994,5472
2014,Delaware,3.9,4.5,11.1,18.4,30.9,25.0,6.3,234.6,16.4,4.1,12.3,1.1,82.5,2.8,6.0,6.0,12.0,18.7,16.3,21.2,17.0,81.238,1460,1326
2014,District of Columbia,2.3,1.4,1.9,3.3,12.7,28.7,49.7,497.9,19.7,5.6,14.1,1.1,79.2,2.6,3.3,2.8,4.7,11.9,12.2,20.0,42.5,125.87,2194,2649
2014,Florida,6.2,16.3,17.3,17.9,20.2,15.0,7.1,173.5,14.9,3.3,11.6,0.6,84.4,3.3,9.1,8.3,13.1,21.0,15.2,17.2,12.8,68.407,1364,1808
