Year,State,Home Value <$50k (%),Home Value $50k-$90k (%),Home Value $100k-$149k (%),Home Value $150k-$199k (%),Home Value $200k-$299k (%),Home Value $300k-$499k (%),Home Value $500k+ (%),Median Home Value ($)(1000X),2nd Mortgage or Equity Loan (%),2nd Mortgage Only (%),Equity Loan Only (%),Both 2nd & Equity Loan (%),No 2nd or Equity Loan (%),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Housing Cost (monthly) ($),Median Real Estate Taxes ($)
2011,Alabama,8.7,22.4,22.2,18.5,16.2,8.7,3.4,142.2,15.2,3.9,11.3,0.6,84.2,3.2,10.5,8.6,14.1,21.7,16.9,16.4,8.7,65.045,1134,585
2011,Alaska,2.0,2.9,6.2,17.6,36.3,27.7,7.3,255.0,12.0,3.4,8.6,0.6,87.4,0.6,3.7,3.0,8.6,17.9,19.7,26.3,20.2,94.966,1794,3074
2011,Arizona,5.2,18.0,21.7,18.0,18.1,13.2,5.9,161.1,19.0,4.9,14.2,0.7,80.3,3.3,9.4,8.2,14.2,21.1,15.5,17.4,10.9,66.79,1365,1434
2011,Arkansas,11.0,29.6,22.0,16.0,12.5,6.7,2.1,120.7,8.5,3.2,5.3,0.4,91.1,3.5,11.0,9.1,16.1,22.6,15.2,15.2,7.4,60.34,988,732
2011,California,1.6,3.8,7.0,9.0,17.9,28.5,32.2,363.6,23.0,6.3,16.6,1.4,75.6,2.3,6.0,5.3,9.8,17.3,15.3,21.6,22.3,89.279,2182,3291
2011,Colorado,2.3,4.7,11.7,18.4,29.2,22.8,10.9,238.8,23.2,8.9,14.3,0.9,75.9,2.5,5.9,5.9,11.6,20.4,16.6,21.3,15.9,80.076,1560,1530
2011,Connecticut,1.3,2.1,7.1,15.2,29.0,28.2,17.2,282.9,24.8,5.1,19.7,0.7,74.6,1.8,3.7,4.5,8.4,16.7,17.1,23.3,24.5,96.239,2052,5152
2011,Delaware,2.6,3.0,9.4,18.2,34.7,26.9,5.3,242.2,23.5,6.0,17.5,1.1,75.3,2.3,5.6,5.9,11.5,20.1,18.5,21.4,14.7,80.856,1567,1300
2011,District of Columbia,1.1,1.0,2.5,4.7,16.3,33.3,41.1,426.8,21.1,5.9,15.2,1.0,77.9,2.5,4.1,3.6,7.2,14.4,13.1,20.4,34.9,108.425,2224,2600
2011,Florida,5.2,20.0,20.7,17.6,18.5,11.9,6.0,159.1,20.4,4.7,15.7,1.0,78.6,3.7,10.6,9.4,14.0,21.2,14.9,15.5,10.8,63.474,1470,1882
2011,Georgia,6.0,18.5,22.6,18.6,18.0,11.8,4.5,156.3,18.8,6.1,12.7,0.7,80.5,3.2,9.1,7.8,12.9,21.5,15.7,17.8,12.0,68.998,1371,1612
2011,Hawaii,0.7,1.1,2.3,3.4,11.9,32.6,47.9,485.8,22.2,4.3,17.9,1.4,76.4,1.3,4.4,4.0,9.7,19.0,17.3,25.8,18.5,90.916,2221,1390
2011,Idaho,4.2,14.3,24.2,22.3,20.8,10.7,3.5,164.0,19.0,5.8,13.2,1.1,79.9,2.7,9.2,9.4,17.4,23.7,16.2,15.1,6.3,60.854,1212,1290
2011,Illinois,4.2,14.2,16.5,18.1,22.6,17.0,7.4,190.1,20.0,4.2,15.9,0.8,79.2,2.1,6.7,6.5,11.3,21.4,16.9,19.9,15.2,77.246,1646,4206
2011,Indiana,6.0,27.1,26.9,18.0,13.3,6.7,1.9,129.3,18.3,4.7,13.5,0.6,81.2,2.2,8.4,8.6,14.6,24.5,17.9,16.3,7.6,65.849,1091,1137
2011,Iowa,7.2,24.3,25.9,17.7,15.9,7.0,1.9,133.6,17.8,5.1,12.6,0.6,81.7,1.4,6.6,7.9,13.6,25.0,19.3,17.4,8.8,70.433,1144,1879
2011,Kansas,8.3,22.3,22.6,19.3,16.7,8.0,2.8,143.1,14.4,4.7,9.7,0.5,85.1,1.5,6.5,7.4,13.5,23.2,19.1,18.3,10.4,72.387,1252,1922
2011,Kentucky,8.3,23.6,25.7,17.1,15.0,7.5,2.8,134.9,18.9,4.1,14.7,0.6,80.5,2.9,9.5,8.6,15.0,22.8,17.1,16.0,8.0,64.806,1092,1137
2011,Louisiana,8.3,16.6,20.7,22.3,18.9,9.6,3.4,158.2,12.3,4.2,8.1,0.7,87.0,3.2,9.5,8.0,12.7,20.2,17.3,18.3,10.8,70.365,1176,818
2011,Maine,5.1,11.8,18.2,22.0,24.0,13.8,5.0,180.0,22.3,3.4,18.9,0.7,77.0,2.1,8.8,8.9,13.7,22.4,18.4,16.8,8.7,67.548,1304,2215
2011,Maryland,1.7,3.2,6.7,12.5,27.7,30.5,17.8,293.8,23.6,5.6,18.0,1.2,75.2,1.8,4.4,4.3,7.4,17.1,16.1,24.7,24.1,97.939,1961,3152
2011,Massachusetts,1.2,1.3,4.3,9.7,26.1,38.1,19.4,330.5,24.9,4.6,20.3,0.9,74.2,1.5,4.4,4.3,8.0,16.8,16.3,25.0,23.6,97.523,2042,3735
2011,Michigan,10.8,26.2,21.9,17.7,14.4,6.7,2.4,126.6,22.2,4.6,17.5,0.8,77.0,2.6,8.9,8.3,13.8,22.2,16.9,17.2,10.0,67.704,1275,2351
2011,Minnesota,3.5,9.3,17.4,23.3,26.1,15.1,5.3,191.4,24.5,6.6,17.9,1.0,74.5,1.7,5.2,6.1,11.5,22.5,18.5,21.4,13.1,78.48,1481,2252
2011,Mississippi,12.8,28.1,21.7,16.6,13.3,5.8,1.7,119.4,10.4,3.1,7.3,0.4,89.2,5.1,12.7,10.3,15.1,22.0,15.1,12.5,7.2,57.051,1048,913
2011,Missouri,6.7,20.5,24.2,19.1,17.4,8.8,3.2,146.8,16.3,4.6,11.6,0.6,83.1,2.2,8.0,8.2,14.2,23.1,17.6,16.9,9.9,67.78,1199,1448
2011,Montana,4.2,9.4,16.4,20.6,28.4,15.0,6.0,198.2,16.0,5.2,10.8,0.6,83.4,2.6,9.0,8.7,16.3,24.7,16.7,15.3,6.7,62.611,1256,1668
2011,Nebraska,6.3,20.9,30.0,17.6,16.5,7.1,1.7,137.8,16.1,5.9,10.2,0.7,83.2,1.6,5.9,6.3,13.2,23.1,20.3,18.9,10.8,74.979,1237,2561
2011,Nevada,4.6,17.7,22.7,20.0,19.1,12.2,3.9,160.4,19.4,7.0,12.5,0.8,79.8,2.7,7.7,8.0,14.5,21.2,15.9,18.5,11.5,70.462,1529,1610
2011,New Hampshire,2.0,4.0,7.8,18.2,37.8,25.0,5.3,243.1,22.6,5.0,17.6,0.9,76.5,1.2,4.4,5.3,8.9,19.9,18.9,24.9,16.6,87.967,1884,5050
2011,New Jersey,1.1,2.1,4.8,9.2,25.2,36.5,20.9,332.1,22.9,3.8,19.0,1.0,76.2,1.4,4.3,4.1,8.0,15.7,15.8,24.7,26.1,100.979,2397,7188
2011,New Mexico,6.0,13.1,19.5,19.8,21.6,13.8,6.1,174.1,13.6,5.2,8.4,0.7,85.7,3.5,10.8,8.0,14.0,21.1,15.6,16.4,10.6,65.698,1216,1283
2011,New York,2.9,10.5,11.4,10.0,14.6,27.4,23.1,303.5,20.2,3.1,17.1,0.9,78.9,1.8,5.3,5.1,9.4,18.2,16.7,22.3,21.2,89.84,1977,4606
2011,North Carolina,4.4,15.9,22.5,19.7,19.5,12.4,5.5,165.4,20.5,4.2,16.3,0.7,78.8,2.8,9.1,8.6,14.5,22.1,15.6,16.6,10.6,65.803,1246,1405
2011,North Dakota,8.6,18.1,24.7,22.3,17.4,7.2,1.7,147.2,14.1,3.6,10.5,0.7,85.2,1.4,4.2,5.4,12.2,23.5,21.1,21.8,10.4,78.423,1155,2012
2011,Ohio,5.5,24.5,25.7,19.0,15.8,7.2,2.4,137.9,23.1,5.2,17.9,0.9,76.0,2.2,7.8,8.1,13.8,23.7,17.1,17.4,9.9,68.599,1243,2141
2011,Oklahoma,9.0,27.7,25.4,17.0,12.7,5.9,2.4,125.6,10.1,4.4,5.6,0.3,89.6,2.4,8.8,8.6,14.9,23.4,16.7,17.0,8.2,65.792,1108,1153
2011,Oregon,2.9,4.1,10.7,19.7,29.8,23.5,9.3,238.6,21.7,6.6,15.1,0.8,77.5,2.4,7.4,6.9,12.8,23.6,18.2,17.6,11.1,71.65,1546,2526
2011,Pennsylvania,4.9,15.5,17.7,18.4,22.2,15.4,5.8,178.8,22.4,3.9,18.5,0.8,76.8,2.1,6.7,6.7,12.3,22.5,17.4,19.2,13.1,74.597,1408,2653
2011,Rhode Island,1.4,2.7,8.0,18.9,35.7,23.5,9.7,244.4,24.3,4.4,19.9,0.9,74.9,1.7,6.1,4.7,10.4,19.7,17.9,23.7,15.8,85.772,1842,3796
2011,South Carolina,7.2,19.1,22.8,18.0,16.7,10.4,5.9,152.3,17.4,4.1,13.3,0.7,81.9,3.0,10.4,8.6,14.6,22.8,15.4,16.3,8.9,63.143,1175,894
2011,South Dakota,7.7,17.6,25.2,21.9,16.7,8.8,2.0,148.8,15.2,4.4,10.8,0.6,84.2,1.8,5.7,7.6,14.8,25.7,21.5,15.4,7.6,70.3,1178,1956
2011,Tennessee,6.1,20.7,24.5,18.7,16.7,9.3,4.1,147.4,15.4,4.2,11.3,0.4,84.2,2.7,10.2,9.1,14.7,22.5,16.7,15.3,8.9,63.288,1172,1090
2011,Texas,5.8,22.0,24.9,18.3,15.9,9.0,4.1,144.1,8.6,3.9,4.7,0.4,91.0,2.2,7.6,6.8,11.9,20.2,16.4,20.0,14.9,76.873,1398,3020
2011,Utah,2.4,3.8,15.6,24.7,29.7,17.9,6.0,209.9,19.0,7.1,11.9,0.9,80.2,1.5,5.5,6.4,13.4,25.9,19.0,18.5,9.9,72.089,1418,1432
2011,Vermont,2.6,5.7,12.5,22.2,30.9,19.5,6.6,220.7,21.4,3.6,17.8,0.3,78.3,1.5,7.1,7.4,12.5,22.0,20.3,17.9,11.4,74.419,1487,3647
2011,Virginia,2.1,5.9,10.8,14.8,25.1,25.0,16.4,262.8,23.0,5.8,17.2,0.8,76.2,1.7,5.4,5.5,9.9,18.3,16.2,21.2,21.8,88.389,1707,2128
2011,Washington,1.8,3.2,9.0,16.7,29.1,26.8,13.4,263.1,20.7,5.3,15.3,1.1,78.3,1.7,5.5,5.6,10.6,20.9,18.5,21.7,15.5,82.029,1733,2826
2011,West Virginia,12.2,29.1,21.1,15.6,14.3,5.9,1.8,118.4,14.3,3.2,11.1,0.4,85.3,3.6,10.9,10.0,15.2,21.5,15.8,15.6,7.4,61.318,937,696
2011,Wisconsin,2.9,12.9,23.2,22.3,24.1,11.3,3.4,172.1,22.3,5.3,16.9,1.0,76.7,2.0,6.4,6.6,13.3,24.4,19.3,18.7,9.4,72.203,1402,3302
2011,Wyoming,4.7,9.0,18.9,23.2,27.5,12.5,4.2,187.7,14.1,7.4,6.7,1.1,84.8,1.7,5.4,7.7,11.0,22.7,20.1,22.5,8.8,77.66,1269,1185
2011,Puerto Rico,1.7,20.9,30.9,22.2,15.0,6.9,2.4,144.0,3.6,2.7,0.9,0.3,96.0,9.2,23.1,15.7,18.1,18.3,7.0,5.4,3.2,36.333,888,724
