Year,Region,NAME,Population,Net Population Change,Net Migration,Net Migration Change
2013,0,United States,315993715,2162725,830168,2.636187477
2013,1,Northeast Region,55901806,126590,-26232,-0.469783301
2013,2,Midwest Region,67560379,223636,-467,-0.006923795
2013,3,South Region,118364400,1123192,623421,5.292072674
2013,4,West Region,74167130,689307,233446,3.162261835
2013,3,Alabama,4830081,14493,7343,1.5225486169999998
2013,4,Alaska,737068,6625,-701,-0.955359108
2013,4,Arizona,6632764,77786,42047,6.376679192
2013,3,Arkansas,2959400,7236,171,0.05785271
2013,4,California,38260787,311987,62836,1.649031375
2013,4,Colorado,5269035,76388,44424,8.492707005
2013,1,Connecticut,3594841,294,-6007,-1.671074089
2013,3,Delaware,923576,8397,5655,6.150901017000001
2013,3,District of Columbia,650581,15657,10788,16.78406541
2013,3,Florida,19545621,247799,215179,11.07929593
2013,3,Georgia,9972479,71049,16454,1.6558393219999998
2013,4,Hawaii,1408243,13439,4917,3.508325048
2013,4,Idaho,1611206,15882,5325,3.3213473760000003
2013,2,Illinois,12895129,12619,-40418,-3.135896193
2013,2,Indiana,6568713,31010,8676,1.323931729
2013,2,Iowa,3092997,16807,7098,2.301113583
2013,2,Kansas,2893212,7955,-6184,-2.140359324
2013,3,Kentucky,4404659,18313,6753,1.536343114
2013,3,Louisiana,4624527,23555,4501,0.975773777
2013,1,Maine,1328009,280,959,0.7222097959999999
2013,3,Maryland,5923188,36196,10142,1.7175013419999998
2013,1,Massachusetts,6713315,50310,33783,5.051165043999999
2013,2,Michigan,9913065,15920,-4999,-0.504689249
2013,2,Minnesota,5413479,36836,9621,1.783297724
2013,3,Mississippi,2988711,4895,-2997,-1.003595296
2013,2,Missouri,6040715,16348,-934,-0.154826963
2013,4,Montana,1013569,9786,6965,6.905091427
2013,2,Nebraska,1865279,11976,2205,1.185935929
2013,4,Nevada,2775970,31974,18122,6.565982472000001
2013,1,New Hampshire,1326622,2390,806,0.608105916
2013,1,New Jersey,8856972,12030,-18948,-2.140785454
2013,4,New Mexico,2092273,4964,-5034,-2.408853326
2013,1,New York,19624447,51515,-35115,-1.79170143
2013,3,North Carolina,9843336,93860,58114,5.932175535
2013,2,North Dakota,722036,20860,16331,22.94949733
2013,2,Ohio,11576684,27761,3880,0.33555876
2013,3,Oklahoma,3853214,34400,19428,5.064632194
2013,4,Oregon,3922468,23467,11946,3.054669142
2013,1,Pennsylvania,12776309,9191,-749,-0.058645224
2013,1,Rhode Island,1055081,460,-740,-0.701520878
2013,3,South Carolina,4764080,46726,34343,7.24426284
2013,2,South Dakota,842316,8750,3877,4.626817401
2013,3,Tennessee,6494340,40442,23220,3.586588384
2013,3,Texas,26480266,395785,187455,7.132346704
2013,4,Utah,2897640,44265,8780,3.053374057
2013,1,Vermont,626210,120,-221,-0.352950571
2013,3,Virginia,8252427,67347,28404,3.4559985280000003
2013,4,Washington,6963985,66927,31002,4.47325645
2013,3,West Virginia,1853914,-2958,-1532,-0.8257010779999999
2013,2,Wisconsin,5736754,16794,380,0.066336648
2013,4,Wyoming,582122,5817,2817,4.863491614
2013,X,Puerto Rico,3593077,-41411,-49883,-13.80354241
