Current residence,Population (1yr ago) Est,MOE,Same house (1yr ago) Est,Same state of residence (1yr ago) Est,Different state of residence (1yr ago) Total Est,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Abroad(1yr ago) Est,Region
Idaho,"1,550,967","+/- 1,954","1,279,856","209,272","55,638",376,"3,264","3,086",45,"8,932","1,372",0,0,144,612,313,123,,169,132,773,422,315,59,202,44,115,427,465,37,425,"1,509",0,"2,110",109,97,694,155,134,96,325,711,"3,202",172,0,0,296,"1,153","1,746","8,014",0,611,"10,876",133,233,"1,410","6,201",West_states
Illinois,"12,680,126","+/- 5,467","11,009,852","1,404,525","203,959","1,397","1,764","5,921","1,194","16,205","3,850","2,264",56,"1,047","8,051","6,781","1,224",313,,"21,918","9,141","1,970","2,921","1,419",55,"1,985","2,811","11,865","4,300","1,093","16,703",928,546,"2,541",206,"2,331",996,"8,479","5,504","1,112","5,103","1,459","1,224","5,190",838,"1,565",292,"3,999","12,245",658,260,"3,831","1,642",812,"15,364",586,"61,790",Midwest_states
Indiana,"6,414,862","+/- 4,257","5,431,015","833,086","127,353","1,502",177,"2,210","1,548","8,959","1,362",544,0,181,"5,496","1,623",267,772,"27,950",,"1,885","1,582","10,643",749,30,"1,641",103,"9,361",916,270,"3,893",164,705,227,114,"1,876",188,"2,564","2,828",0,"13,272",681,423,"2,668",174,584,216,"3,093","6,335",444,45,"3,673",571,669,"1,762",413,"23,408",Midwest_states
Iowa,"3,013,053","+/- 2,381","2,553,210","375,650","72,557",330,519,"1,483",247,"2,847","2,554",114,0,53,"1,364",973,866,315,"17,016","1,710",,"1,520",334,315,0,134,189,"1,439","7,564",117,"6,031",836,"4,783",623,381,472,492,273,"1,123",601,632,679,"1,071",378,0,591,"1,992","1,617","4,131",146,45,303,538,0,"2,705",111,"11,636",Midwest_states
Kansas,"2,820,894","+/- 2,731","2,341,401","372,161","95,059",44,"1,050","2,238","1,596","6,125","6,022",85,238,0,"2,863","1,916",128,398,"2,943","1,544","1,875",,"1,048",890,0,"1,369",100,806,"1,562",167,"23,384",289,"2,678","1,318",76,"1,743",873,"2,390","1,083",225,"1,509","7,568",514,563,39,137,352,"1,152","9,217",238,75,"1,648","1,175",0,"1,233",573,"12,273",Midwest_states
Kentucky,"4,296,639","+/- 3,389","3,638,259","519,887","118,443","2,161","3,017","2,598",558,"3,779",329,698,38,147,"10,119","6,397",520,71,"4,659","11,906",656,"1,109",,437,0,"1,395","1,036","4,672",930,"1,442","3,153",0,858,76,0,"1,147",122,"2,057","3,758",0,"15,598","1,153",181,"2,618",289,"1,286",163,"11,153","5,758",905,525,"3,671",716,"2,297","1,993",292,"20,050",South_states
Louisiana,"4,483,529","+/- 3,720","3,826,390","547,291","97,889","5,740","1,504","1,960","2,382","5,751","1,215",89,0,264,"9,394","5,766",342,202,"2,131",948,625,706,"1,656",,162,963,995,"1,301",569,"7,032","2,852",40,119,"1,552",462,171,294,"2,161","1,443",438,"1,100","1,074",281,"1,350",0,"1,130",0,"1,853","26,134",473,0,"1,278","1,509",210,237,31,"11,959",South_states
Maine,"1,313,902","+/- 1,878","1,136,780","146,735","27,758",402,424,254,67,"1,066",478,"1,361",174,55,"3,025",844,62,0,311,259,337,56,484,115,,243,"3,521",122,91,0,201,275,204,345,"4,058",902,234,"2,339","1,001",55,315,124,0,375,379,148,0,249,458,390,420,654,381,0,0,500,"2,629",Northeast_states
Maryland,"5,716,785","+/- 3,648","4,917,637","588,879","164,484","1,641","2,672","1,124",273,"8,206","2,501","1,603","8,340","23,202","6,564","3,454",422,357,"3,300",431,160,781,396,"1,376",53,,"1,983","3,572",820,403,"1,147",86,54,979,"1,369","9,058",238,"10,736","5,787",0,"3,277",607,723,"13,467",782,"1,710",49,"2,669","5,883",655,350,"24,765","1,542","4,363",324,230,"45,785",South_states
Massachusetts,"6,489,250","+/- 3,528","5,583,650","706,624","140,162",583,"1,891","1,572",206,"14,971","1,051","13,270",131,"1,539","11,118","1,409",682,79,"2,842","1,891",307,0,340,0,"4,666","3,660",,"1,624","2,185",453,"1,957",388,46,792,"9,911","4,709",161,"20,002","2,798",0,"2,163",158,228,"5,316","6,965","1,659",0,918,"7,073",207,"1,526","4,542","1,627",0,546,0,"58,814",Northeast_states
Michigan,"9,762,127","+/- 4,595","8,310,098","1,291,901","116,149","2,403","1,040","3,197",636,"6,726","2,031",277,167,471,"11,646","3,913",313,66,"10,651","7,816",758,640,"2,353","1,342",645,620,"1,206",,"1,275",656,"2,921",312,213,"1,874",437,"1,676",669,"3,135","2,444",53,"9,783","2,276",537,"3,134",653,"1,446",706,"4,453","7,184",545,45,"2,073","1,427",446,"6,291",568,"43,979",Midwest_states
