Year,Current residence,Region,Moved to,Num_moved
2012,North Dakota,Midwest_states,Alabama,109.0
2012,Ohio,Midwest_states,Alabama,1289.0
2012,Oklahoma,South_states,Alabama,1612.0
2012,Oregon,West_states,Alabama,400.0
2012,Pennsylvania,Northeast_states,Alabama,369.0
2012,Rhode Island,Northeast_states,Alabama,136.0
2012,South Carolina,South_states,Alabama,1741.0
2012,South Dakota,Midwest_states,Alabama,325.0
2012,Tennessee,South_states,Alabama,8897.0
2012,Texas,South_states,Alabama,8636.0
2012,Utah,West_states,Alabama,93.0
2012,Vermont,Northeast_states,Alabama,0.0
2012,Virginia,South_states,Alabama,2671.0
2012,Washington,West_states,Alabama,1322.0
2012,West Virginia,South_states,Alabama,41.0
2012,Wisconsin,Midwest_states,Alabama,552.0
2012,Wyoming,West_states,Alabama,172.0
2012,Puerto Rico,,Alabama,629.0
2013,Alabama,South_states,Alabama,
2013,Alaska,West_states,Alabama,477.0
2013,Arizona,West_states,Alabama,416.0
2013,Arkansas,South_states,Alabama,1405.0
2013,California,West_states,Alabama,3364.0
2013,Colorado,West_states,Alabama,954.0
2013,Connecticut,Northeast_states,Alabama,896.0
2013,Delaware,South_states,Alabama,128.0
2013,District of Columbia ,South_states,Alabama,360.0
2013,Florida,South_states,Alabama,15830.0
2013,Georgia,South_states,Alabama,13840.0
2013,Hawaii,West_states,Alabama,749.0
2013,Idaho,West_states,Alabama,376.0
2013,Illinois,Midwest_states,Alabama,1397.0
2013,Indiana,Midwest_states,Alabama,1502.0
2013,Iowa,Midwest_states,Alabama,330.0
2013,Kansas,Midwest_states,Alabama,44.0
2013,Kentucky,South_states,Alabama,2161.0
2013,Louisiana,South_states,Alabama,5740.0
2013,Maine,Northeast_states,Alabama,402.0
2013,Maryland,South_states,Alabama,1641.0
2013,Massachusetts,Northeast_states,Alabama,583.0
2013,Michigan,Midwest_states,Alabama,2403.0
2013,Minnesota,Midwest_states,Alabama,266.0
2013,Mississippi,South_states,Alabama,8306.0
2013,Missouri,Midwest_states,Alabama,819.0
2013,Montana,West_states,Alabama,212.0
2013,Nebraska,Midwest_states,Alabama,232.0
2013,Nevada,West_states,Alabama,150.0
2013,New Hampshire,Northeast_states,Alabama,152.0
2013,New Jersey,Northeast_states,Alabama,616.0
2013,New Mexico,West_states,Alabama,751.0
2013,New York,Northeast_states,Alabama,1310.0
2013,North Carolina,South_states,Alabama,3044.0
2013,North Dakota,Midwest_states,Alabama,109.0
2013,Ohio,Midwest_states,Alabama,1289.0
2013,Oklahoma,South_states,Alabama,1612.0
2013,Oregon,West_states,Alabama,400.0
2013,Pennsylvania,Northeast_states,Alabama,369.0
2013,Rhode Island,Northeast_states,Alabama,136.0
2013,South Carolina,South_states,Alabama,1741.0
2013,South Dakota,Midwest_states,Alabama,325.0
2013,Tennessee,South_states,Alabama,8897.0
2013,Texas,South_states,Alabama,8636.0
2013,Utah,West_states,Alabama,93.0
2013,Vermont,Northeast_states,Alabama,0.0
2013,Virginia,South_states,Alabama,2671.0
2013,Washington,West_states,Alabama,1322.0
