Current residence,Region,Population (1yr ago) Est,Same house (1yr ago) Est,Same state of residence (1yr ago) Est,Different state of residence (1yr ago) Total Est,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Abroad(1yr ago) Est
Florida,South_states,18647600.0,15554008.0,2459530.0,482889.0,15830.0,5887.0,3907.0,3611.0,22130.0,6428.0,11183.0,3099.0,1110.0,,35615.0,2021.0,884.0,17432.0,9030.0,2921.0,4136.0,6321.0,7232.0,5497.0,13241.0,13900.0,21359.0,5439.0,7929.0,7984.0,338.0,1544.0,7050.0,3645.0,22344.0,900.0,55011.0,19108.0,794.0,21047.0,3466.0,1655.0,19935.0,1982.0,10759.0,430.0,12882.0,24039.0,2833.0,1442.0,20080.0,3573.0,5634.0,8081.0,191.0,151173.0
Georgia,South_states,9587237.0,8015409.0,1278548.0,249459.0,13840.0,3645.0,2554.0,599.0,8909.0,3224.0,2619.0,837.0,1708.0,49901.0,,1040.0,414.0,9736.0,2649.0,1096.0,1355.0,6525.0,3645.0,0.0,5382.0,3910.0,6857.0,1169.0,2380.0,3072.0,52.0,148.0,1155.0,162.0,4151.0,826.0,12472.0,15361.0,0.0,9323.0,2070.0,843.0,6294.0,43.0,15562.0,557.0,14445.0,11424.0,380.0,361.0,8393.0,4495.0,358.0,3416.0,102.0,43821.0
Hawaii,West_states,1346274.0,1140572.0,134315.0,53581.0,749.0,743.0,1398.0,0.0,12677.0,1073.0,307.0,0.0,0.0,4599.0,2013.0,,42.0,715.0,192.0,68.0,387.0,95.0,88.0,89.0,990.0,1283.0,627.0,476.0,234.0,170.0,150.0,0.0,1925.0,496.0,443.0,11.0,1339.0,1510.0,69.0,625.0,57.0,1834.0,553.0,644.0,322.0,267.0,142.0,6694.0,467.0,0.0,2644.0,2705.0,483.0,1168.0,18.0,17806.0
Idaho,West_states,1550967.0,1279856.0,209272.0,55638.0,376.0,3264.0,3086.0,45.0,8932.0,1372.0,0.0,0.0,144.0,612.0,313.0,123.0,,169.0,132.0,773.0,422.0,315.0,59.0,202.0,44.0,115.0,427.0,465.0,37.0,425.0,1509.0,0.0,2110.0,109.0,97.0,694.0,155.0,134.0,96.0,325.0,711.0,3202.0,172.0,0.0,0.0,296.0,1153.0,1746.0,8014.0,0.0,611.0,10876.0,133.0,233.0,1410.0,6201.0
Illinois,Midwest_states,12680126.0,11009852.0,1404525.0,203959.0,1397.0,1764.0,5921.0,1194.0,16205.0,3850.0,2264.0,56.0,1047.0,8051.0,6781.0,1224.0,313.0,,21918.0,9141.0,1970.0,2921.0,1419.0,55.0,1985.0,2811.0,11865.0,4300.0,1093.0,16703.0,928.0,546.0,2541.0,206.0,2331.0,996.0,8479.0,5504.0,1112.0,5103.0,1459.0,1224.0,5190.0,838.0,1565.0,292.0,3999.0,12245.0,658.0,260.0,3831.0,1642.0,812.0,15364.0,586.0,61790.0
Indiana,Midwest_states,6414862.0,5431015.0,833086.0,127353.0,1502.0,177.0,2210.0,1548.0,8959.0,1362.0,544.0,0.0,181.0,5496.0,1623.0,267.0,772.0,27950.0,,1885.0,1582.0,10643.0,749.0,30.0,1641.0,103.0,9361.0,916.0,270.0,3893.0,164.0,705.0,227.0,114.0,1876.0,188.0,2564.0,2828.0,0.0,13272.0,681.0,423.0,2668.0,174.0,584.0,216.0,3093.0,6335.0,444.0,45.0,3673.0,571.0,669.0,1762.0,413.0,23408.0
Iowa,Midwest_states,3013053.0,2553210.0,375650.0,72557.0,330.0,519.0,1483.0,247.0,2847.0,2554.0,114.0,0.0,53.0,1364.0,973.0,866.0,315.0,17016.0,1710.0,,1520.0,334.0,315.0,0.0,134.0,189.0,1439.0,7564.0,117.0,6031.0,836.0,4783.0,623.0,381.0,472.0,492.0,273.0,1123.0,601.0,632.0,679.0,1071.0,378.0,0.0,591.0,1992.0,1617.0,4131.0,146.0,45.0,303.0,538.0,0.0,2705.0,111.0,11636.0
Kansas,Midwest_states,2820894.0,2341401.0,372161.0,95059.0,44.0,1050.0,2238.0,1596.0,6125.0,6022.0,85.0,238.0,0.0,2863.0,1916.0,128.0,398.0,2943.0,1544.0,1875.0,,1048.0,890.0,0.0,1369.0,100.0,806.0,1562.0,167.0,23384.0,289.0,2678.0,1318.0,76.0,1743.0,873.0,2390.0,1083.0,225.0,1509.0,7568.0,514.0,563.0,39.0,137.0,352.0,1152.0,9217.0,238.0,75.0,1648.0,1175.0,0.0,1233.0,573.0,12273.0
Kentucky,South_states,4296639.0,3638259.0,519887.0,118443.0,2161.0,3017.0,2598.0,558.0,3779.0,329.0,698.0,38.0,147.0,10119.0,6397.0,520.0,71.0,4659.0,11906.0,656.0,1109.0,,437.0,0.0,1395.0,1036.0,4672.0,930.0,1442.0,3153.0,0.0,858.0,76.0,0.0,1147.0,122.0,2057.0,3758.0,0.0,15598.0,1153.0,181.0,2618.0,289.0,1286.0,163.0,11153.0,5758.0,905.0,525.0,3671.0,716.0,2297.0,1993.0,292.0,20050.0
Louisiana,South_states,4483529.0,3826390.0,547291.0,97889.0,5740.0,1504.0,1960.0,2382.0,5751.0,1215.0,89.0,0.0,264.0,9394.0,5766.0,342.0,202.0,2131.0,948.0,625.0,706.0,1656.0,,162.0,963.0,995.0,1301.0,569.0,7032.0,2852.0,40.0,119.0,1552.0,462.0,171.0,294.0,2161.0,1443.0,438.0,1100.0,1074.0,281.0,1350.0,0.0,1130.0,0.0,1853.0,26134.0,473.0,0.0,1278.0,1509.0,210.0,237.0,31.0,11959.0
