Region,Current residence,Population (1yr ago) Est,Same house (1yr ago) Est,Same state of residence (1yr ago) Est,Different state of residence (1yr ago) Total Est,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Abroad(1yr ago) Est
South_states,Kentucky,4296639,3638259,519887,118443,2161,3017,2598,558,3779,329,698,38,147,10119,6397,520,71,4659,11906,656,1109,,437,0,1395,1036,4672,930,1442,3153,0,858,76,0,1147,122,2057,3758,0,15598,1153,181,2618,289,1286,163,11153,5758,905,525,3671,716,2297,1993,292,20050
South_states,Louisiana,4483529,3826390,547291,97889,5740,1504,1960,2382,5751,1215,89,0,264,9394,5766,342,202,2131,948,625,706,1656,,162,963,995,1301,569,7032,2852,40,119,1552,462,171,294,2161,1443,438,1100,1074,281,1350,0,1130,0,1853,26134,473,0,1278,1509,210,237,31,11959
Northeast_states,Maine,1313902,1136780,146735,27758,402,424,254,67,1066,478,1361,174,55,3025,844,62,0,311,259,337,56,484,115,,243,3521,122,91,0,201,275,204,345,4058,902,234,2339,1001,55,315,124,0,375,379,148,0,249,458,390,420,654,381,0,0,500,2629
South_states,Maryland,5716785,4917637,588879,164484,1641,2672,1124,273,8206,2501,1603,8340,23202,6564,3454,422,357,3300,431,160,781,396,1376,53,,1983,3572,820,403,1147,86,54,979,1369,9058,238,10736,5787,0,3277,607,723,13467,782,1710,49,2669,5883,655,350,24765,1542,4363,324,230,45785
Northeast_states,Massachusetts,6489250,5583650,706624,140162,583,1891,1572,206,14971,1051,13270,131,1539,11118,1409,682,79,2842,1891,307,0,340,0,4666,3660,,1624,2185,453,1957,388,46,792,9911,4709,161,20002,2798,0,2163,158,228,5316,6965,1659,0,918,7073,207,1526,4542,1627,0,546,0,58814
Midwest_states,Michigan,9762127,8310098,1291901,116149,2403,1040,3197,636,6726,2031,277,167,471,11646,3913,313,66,10651,7816,758,640,2353,1342,645,620,1206,,1275,656,2921,312,213,1874,437,1676,669,3135,2444,53,9783,2276,537,3134,653,1446,706,4453,7184,545,45,2073,1427,446,6291,568,43979
Midwest_states,Minnesota,5244256,4480630,647946,89872,266,1169,4165,279,6233,2521,211,176,306,2575,1776,227,231,6641,1120,4948,1067,402,519,172,1259,1092,2631,,196,1549,1020,734,540,183,513,151,1309,1673,7316,1035,284,738,730,123,1597,3237,1155,2619,1013,0,2371,1328,200,17929,343,25808
South_states,Mississippi,2931228,2510729,340266,72321,8306,1192,187,4941,3000,1167,71,0,0,4814,4014,276,121,3030,1403,114,330,407,7390,0,649,107,2495,863,,959,314,0,408,0,403,633,1026,2227,0,1312,663,0,750,145,1860,56,8158,5755,232,0,572,508,94,879,490,7912
Midwest_states,Missouri,5920858,4968921,786726,145226,819,1051,2988,4381,9840,1903,243,314,478,8317,2492,380,830,21277,3351,4708,23427,2552,2238,171,1359,1395,2610,1701,1183,,220,2636,1060,108,1320,150,2630,1825,848,2163,4647,314,1639,0,954,512,3311,12884,1319,498,3206,1107,177,1331,359,19985
West_states,Montana,978507,821709,117752,35630,212,650,1909,672,5756,2185,128,71,0,1373,46,0,1458,1094,251,169,60,321,85,76,51,59,648,1323,242,564,,340,548,0,0,660,246,1072,1677,89,182,1620,419,0,110,295,111,2101,964,0,497,3250,0,357,1689,3416
Midwest_states,Nebraska,1802697,1497138,247005,51290,232,35,2322,674,4430,4182,361,177,0,1775,1202,257,127,1820,639,5536,2484,153,89,0,77,100,726,2254,823,2723,112,,232,0,143,831,111,442,777,1232,702,506,345,0,65,2936,77,4445,537,0,772,1230,73,1046,1478,7264
West_states,Nevada,2667364,2030410,517261,102677,150,511,7818,530,35472,2935,648,0,0,3579,1187,4363,1686,1711,739,543,453,569,733,0,485,1275,2202,805,946,1747,770,1129,,59,1528,1220,1204,957,37,1554,886,2629,1567,167,312,1203,706,5224,4500,197,1832,3290,56,419,144,17016
Northeast_states,New Hampshire,1303865,1118359,141213,39367,152,0,544,0,1692,240,3134,0,298,1659,0,51,66,850,23,109,57,0,19,3242,49,13752,230,240,25,295,486,0,95,,540,276,2462,471,0,28,0,508,674,988,51,0,372,1570,279,2566,745,261,0,268,0,4926
Northeast_states,New Jersey,8709933,7841470,684482,127369,616,383,1625,258,8777,807,2503,1543,431,9841,4588,385,91,2656,402,332,442,91,249,95,4231,2626,1070,322,450,727,122,261,874,705,,421,41374,3052,0,1584,32,613,22225,332,1134,0,852,3434,178,57,2670,964,358,586,0,56612
West_states,New Mexico,2039549,1735950,220663,73605,751,969,6117,77,6547,2852,25,391,56,3259,1977,122,755,526,465,0,751,739,65,94,1968,2076,1460,179,719,138,1003,530,4192,79,160,,784,1793,79,1712,1182,1659,809,46,152,204,1269,18511,1601,309,290,3004,0,407,752,9331
Northeast_states,New York,19171916,16976205,1779540,269427,1310,5070,2649,362,25177,3135,15338,2603,1983,30553,7676,259,198,6533,2497,477,1189,804,1321,2270,5912,16855,4779,1649,872,1870,237,886,2077,2636,35333,829,,13322,0,6510,2298,2284,20514,1913,7161,521,1730,9692,910,2900,8881,2503,444,2354,151,146744
South_states,North Carolina,9443000,7982017,1141001,263256,3044,1618,2847,550,16699,1842,3752,479,1691,28983,15943,1567,724,5657,4132,1077,2192,4419,2180,2259,9881,4052,5789,1839,1187,1932,230,516,698,2130,7195,1186,19406,,243,8661,1453,1796,11155,97,23196,362,8685,14329,790,350,25662,2874,3025,2012,870,56726
Midwest_states,North Dakota,665654,556222,75720,30100,109,1066,662,168,1411,873,30,0,175,492,799,53,69,39,45,289,114,97,374,0,121,52,298,12350,0,197,1236,328,382,0,144,380,188,637,,134,108,313,392,0,0,1038,273,2513,462,0,25,696,0,749,219,3612
Midwest_states,Ohio,11405101,9745227,1453401,172633,1289,1556,4715,434,8997,2859,1307,15,972,16495,9502,436,564,7092,9438,1270,1016,9159,743,291,3828,3686,15130,2298,89,1171,460,1531,2240,175,2465,515,5988,5985,26,,1228,342,12012,444,2479,207,4987,7465,485,182,6769,2567,7814,1771,144,33840
South_states,Oklahoma,3716264,3065497,528824,106511,1612,1397,2759,5873,9429,3184,68,109,0,5438,3159,773,611,2679,957,1108,5024,877,2208,298,382,465,1047,599,1733,4102,448,829,1079,69,890,2723,1118,1991,139,1385,,398,1316,119,596,83,1872,28238,428,93,2286,2035,221,551,1713,15432
West_states,Oregon,3794008,3110896,545841,116700,400,2027,5264,246,34190,2050,270,0,217,2273,688,2323,4129,1565,317,161,678,0,0,0,595,1471,1159,668,735,1786,3386,777,2805,317,544,981,2538,1040,592,1541,821,,1689,0,989,741,787,3826,2879,456,1124,22793,358,1981,523,20571
Northeast_states,Pennsylvania,12577555,11053022,1239199,235580,369,2185,3668,807,12077,3657,4007,4608,1621,18212,4644,332,380,4490,2018,227,1426,1675,625,1621,18281,4455,4961,1491,563,1725,339,551,1810,729,42456,1250,30481,7611,521,14545,1254,918,,377,1315,966,1611,7778,1048,215,10558,2495,4258,1300,1069,49754
Northeast_states,Rhode Island,1042240,900283,99603,32059,136,0,324,0,1697,59,4090,0,146,1336,382,274,0,1210,206,48,0,0,0,447,977,8639,77,47,0,47,0,0,297,333,1868,0,4583,1376,62,0,199,0,560,,61,48,71,678,0,72,1399,160,150,0,0,10295
South_states,South Carolina,4577399,3870879,537961,152441,1741,1670,1457,365,4691,1867,3998,249,38,16060,17486,813,233,4253,2174,703,514,2211,2059,603,5184,3765,3709,818,1175,1371,0,0,1173,486,4908,1390,7912,20749,118,3883,1458,1020,4689,154,,95,3816,4965,455,478,9786,3070,1190,1057,382,16118
Midwest_states,South Dakota,805616,680993,96805,25777,325,25,745,61,1338,807,0,0,0,251,24,75,457,80,439,3520,571,82,129,0,0,407,144,4615,201,252,560,2260,38,0,0,38,758,262,2020,160,296,122,209,0,0,,0,1334,0,0,224,1564,0,736,648,2041
South_states,Tennessee,6282706,5299496,801355,159778,8897,343,2291,4736,8019,1858,765,248,394,14168,11065,243,333,3162,4764,1052,2506,11188,2602,84,1450,1733,5529,1504,9029,4342,290,187,2433,197,2230,621,4800,7102,0,4462,669,430,2562,805,4765,63,,8701,2062,0,8650,1412,2201,2831,0,22077
South_states,Texas,24899075,20500156,3740344,486558,8636,11613,16521,15251,68959,16361,924,704,460,26668,16671,3718,2033,20169,6985,3946,11598,5153,31149,1318,4724,7139,13775,6088,7773,12061,1027,4893,8324,1067,7058,11752,16624,12183,2452,8317,22969,4373,7161,975,5249,1936,13044,,4123,52,13713,8847,2221,5927,1874,172017
West_states,Utah,2724064,2240636,388410,77780,93,1798,8147,316,12187,3987,119,0,138,2097,966,932,7692,1831,517,483,299,235,46,148,426,246,261,914,127,1255,1929,118,4549,0,247,518,1462,1167,0,1527,886,2525,557,0,838,875,459,5305,,297,3005,3792,0,338,2126,17238
Northeast_states,Vermont,619363,534975,59032,22529,0,184,65,0,1001,326,1287,87,9,2063,496,49,0,370,0,91,0,176,0,824,300,3599,201,85,0,51,236,0,58,2760,751,0,4056,539,30,50,0,100,524,227,134,153,125,565,0,,400,128,0,377,52,2827
South_states,Virginia,7930773,6752310,870491,259507,2671,3296,3807,1233,17088,3229,2468,1265,10593,18165,11927,2347,1159,7576,2892,1135,2103,2051,2148,1494,24822,4104,5733,462,1858,4262,866,523,748,372,6825,1098,17525,23829,201,7708,781,2137,11796,1543,8339,98,5842,12938,1551,676,,4373,6779,2648,423,48465
West_states,Washington,6661321,5464985,946923,191784,1322,5644,5971,658,39468,4883,642,202,243,5378,3107,4246,12661,3931,1912,1685,1694,886,1011,717,629,1448,2871,1323,737,3727,5094,323,5310,282,721,1012,4140,2143,515,2727,1986,26235,2893,220,3047,866,789,11338,4020,981,7266,,62,2180,638,57629
South_states,West Virginia,1833535,1625125,166168,39609,41,1326,0,0,760,608,84,556,480,1842,485,0,88,356,366,0,161,851,60,0,4249,191,657,0,44,160,39,0,25,107,906,0,611,2552,268,7925,229,0,4908,238,647,0,1160,968,112,208,4999,192,,150,0,2633
Midwest_states,Wisconsin,5623196,4824045,691592,93065,552,798,1854,518,4506,1890,359,351,98,4492,1656,550,902,20299,2563,2300,752,287,331,448,1088,992,6317,16741,810,1716,154,853,1049,69,632,123,1291,1817,497,1674,89,1444,2211,0,1142,235,856,3039,476,75,771,1013,256,,129,14494
West_states,Wyoming,556954,444614,82255,28046,172,0,1511,0,2784,4390,0,0,0,396,745,25,942,415,132,462,532,519,107,0,51,252,570,218,0,421,2528,1711,416,0,0,707,146,34,233,56,62,14,95,0,220,258,495,1990,3226,75,580,556,0,0,,2039
,Puerto Rico,3676493,3392179,247593,31732,629,156,288,0,1177,388,899,0,0,11262,207,0,0,1642,109,0,112,254,109,0,59,2004,89,50,170,221,0,0,0,0,1244,364,4768,146,0,69,0,0,1516,684,109,0,30,977,882,0,392,0,141,585,0,4989
