Current residence in --,Population (1yr ago) Est,MOE,Same house (1yr ago) Est,MOE,Same state of residence (1yr ago) Est,MOE,Different state of residence (1yr ago) Total Est,MOE,Alabama,MOE,Alaska,MOE,Arizona,MOE,Arkansas,MOE,California,MOE,Colorado,MOE,Connecticut,MOE,Delaware,MOE,District of Columbia ,MOE,Florida,MOE,Georgia,MOE,Hawaii,MOE,Idaho,MOE,Illinois,MOE,Indiana,MOE,Iowa,MOE,Kansas,MOE,Kentucky,MOE,Louisiana,MOE,Maine,MOE,Maryland,MOE,Massachusetts,MOE,Michigan,MOE,Minnesota,MOE,Mississippi,MOE,Missouri,MOE,Montana,MOE,Nebraska,MOE,Nevada,MOE,New Hampshire,MOE,New Jersey,MOE,New Mexico,MOE,New York,MOE,North Carolina,MOE,North Dakota,MOE,Ohio,MOE,Oklahoma,MOE,Oregon,MOE,Pennsylvania,MOE,Rhode Island,MOE,South Carolina,MOE,South Dakota,MOE,Tennessee,MOE,Texas,MOE,Utah,MOE,Vermont,MOE,Virginia,MOE,Washington,MOE,West Virginia,MOE,Wisconsin,MOE,Wyoming,MOE,Abroad(1yr ago) Est,Region
Florida,"20,401,575","+/- 7,828","17,176,492","+/- 49,542","2,387,227","+/- 43,437","605,018","+/- 21,606","11,353","+/- 2,540","1,852",+/- 794,"10,312","+/- 3,126","4,136","+/- 1,736","28,420","+/- 4,643","9,880","+/- 2,134","15,285","+/- 3,533","3,143","+/- 1,203","1,752",+/- 783,N/A,N/A,"39,578","+/- 5,579","1,326",+/- 879,885,+/- 624,"23,319","+/- 4,696","14,370","+/- 2,966","6,630","+/- 2,796","2,392","+/- 1,383","8,588","+/- 2,333","5,375","+/- 2,081","2,859","+/- 1,280","17,648","+/- 3,907","19,882","+/- 3,530","19,530","+/- 3,271","6,778","+/- 2,538","6,621","+/- 2,649","11,656","+/- 2,950",677,+/- 535,"1,870","+/- 1,502","4,273","+/- 1,653","5,292","+/- 1,776","33,966","+/- 5,116","3,091","+/- 1,381","60,472","+/- 6,197","28,726","+/- 5,060","1,127",+/- 982,"29,655","+/- 4,691","3,124","+/- 1,309","1,258",+/- 575,"30,258","+/- 5,198","4,894","+/- 1,953","15,904","+/- 3,531",535,+/- 527,"18,647","+/- 3,642","31,153","+/- 3,748","3,531","+/- 2,094","1,627",+/- 754,"29,485","+/- 5,769","6,152","+/- 2,105","3,979","+/- 1,674","11,298","+/- 3,052",454,+/- 351,"232,838",South_states
Georgia,"10,179,860","+/- 6,234","8,514,847","+/- 32,855","1,290,632","+/- 29,551","305,040","+/- 15,456","18,276","+/- 4,471","1,287",+/- 906,"3,901","+/- 1,856","2,388","+/- 1,485","18,948","+/- 3,839","3,337","+/- 1,024","6,077","+/- 3,598","1,294","+/- 1,115","1,473","+/- 1,321","44,846","+/- 5,974",N/A,N/A,768,+/- 453,935,+/- 704,"7,630","+/- 2,331","1,872",+/- 749,"2,123","+/- 1,435","2,003","+/- 1,143","4,049","+/- 1,553","6,951","+/- 2,951",815,+/- 638,"6,600","+/- 1,921","5,727","+/- 2,750","4,744","+/- 1,556","3,166","+/- 1,621","5,796","+/- 2,585","3,775","+/- 1,620",294,+/- 286,566,+/- 466,900,+/- 672,577,+/- 494,"5,201","+/- 1,970","1,188",+/- 946,"24,772","+/- 5,062","17,750","+/- 3,041",436,+/- 302,"11,319","+/- 4,784","1,932","+/- 1,001","2,212","+/- 1,301","8,370","+/- 2,466",399,+/- 467,"11,199","+/- 2,663",336,+/- 438,"20,161","+/- 3,555","19,994","+/- 4,807",923,+/- 642,730,+/- 907,"11,597","+/- 3,266","3,270","+/- 1,154",838,+/- 454,"1,273",+/- 495,22,+/- 37,"69,341",South_states
Hawaii,"1,410,258","+/- 1,894","1,217,704","+/- 11,310","117,894","+/- 10,811","57,229","+/- 6,791","1,182",+/- 903,672,+/- 597,"1,852","+/- 1,155",155,+/- 251,"13,047","+/- 3,210","1,643",+/- 860,269,+/- 294,54,+/- 90,458,+/- 364,"2,113","+/- 1,267","2,487","+/- 1,286",N/A,N/A,94,+/- 146,"2,301","+/- 1,816",930,"+/- 1,033",50,+/- 93,706,+/- 468,265,+/- 374,305,+/- 377,0,+/- 185,"1,098","+/- 1,053",487,+/- 332,379,+/- 446,464,+/- 494,48,+/- 94,204,+/- 336,282,+/- 305,190,+/- 244,"1,491","+/- 1,033",0,+/- 185,723,+/- 747,841,+/- 969,"1,654",+/- 953,"2,395","+/- 1,134",0,+/- 185,602,+/- 398,0,+/- 185,883,+/- 490,836,+/- 542,340,+/- 286,"2,528","+/- 2,391",0,+/- 185,"1,582","+/- 1,734","4,485","+/- 1,946",589,+/- 531,83,+/- 138,"2,033",+/- 870,"4,355","+/- 1,964",20,+/- 46,54,+/- 104,0,+/- 185,"17,431",West_states
Idaho,"1,663,756","+/- 2,007","1,369,449","+/- 15,368","214,222","+/- 12,941","71,556","+/- 7,065",0,+/- 198,"1,638",+/- 819,"4,322","+/- 1,541",341,+/- 483,"17,019","+/- 4,007","3,072","+/- 2,010",49,+/- 81,0,+/- 198,0,+/- 198,"1,356",+/- 723,458,+/- 328,"1,113",+/- 631,N/A,N/A,757,+/- 701,158,+/- 255,480,+/- 514,133,+/- 178,188,+/- 379,379,+/- 245,200,+/- 217,281,+/- 344,423,+/- 361,382,+/- 421,426,+/- 425,0,+/- 198,390,+/- 324,"1,425",+/- 936,65,+/- 74,"3,300","+/- 1,611",46,+/- 64,284,+/- 353,"1,508","+/- 1,556",671,+/- 513,"2,116","+/- 1,254",708,+/- 480,381,+/- 346,178,+/- 173,"2,836",+/- 923,"1,062",+/- 539,0,+/- 198,93,+/- 107,142,+/- 237,60,+/- 115,"2,606","+/- 1,122","7,405","+/- 2,129",0,+/- 198,401,+/- 681,"9,303","+/- 2,272",122,+/- 212,249,+/- 313,"3,030","+/- 1,721","8,529",West_states
Illinois,"12,654,142","+/- 5,822","10,996,695","+/- 35,598","1,387,848","+/- 31,048","203,713","+/- 9,123","2,022","+/- 1,150",578,+/- 490,"5,251","+/- 2,334","1,288",+/- 628,"15,163","+/- 2,951","3,257","+/- 1,208","1,297",+/- 601,205,+/- 347,"1,083",+/- 424,"13,021","+/- 2,986","6,739","+/- 1,950",627,+/- 500,724,+/- 648,N/A,N/A,"15,203","+/- 2,458","9,541","+/- 2,230","2,683","+/- 1,069","3,791","+/- 1,575","1,219",+/- 469,180,+/- 150,"2,140",+/- 945,"3,651","+/- 1,016","8,176","+/- 2,092","3,566","+/- 1,265","1,608",+/- 826,"16,251","+/- 2,959",530,+/- 455,"1,214",+/- 714,"1,476",+/- 691,741,+/- 457,"2,733","+/- 1,007",309,+/- 234,"7,566","+/- 1,425","4,379","+/- 1,668",372,+/- 333,"7,260","+/- 1,688",732,+/- 394,"1,025",+/- 830,"3,809","+/- 1,322",358,+/- 292,954,+/- 565,447,+/- 401,"6,928","+/- 2,136","13,290","+/- 2,740","1,211",+/- 729,919,"+/- 1,427","7,822","+/- 2,384","3,628","+/- 1,211",880,+/- 683,"15,595","+/- 2,278",271,+/- 303,"65,886",Midwest_states
Indiana,"6,554,084","+/- 4,241","5,580,090","+/- 26,152","801,425","+/- 26,459","145,782","+/- 9,568","1,133",+/- 715,495,+/- 477,"1,185",+/- 650,"1,308",+/- 707,"6,970","+/- 1,977","1,513",+/- 936,884,+/- 548,401,+/- 330,64,+/- 113,"10,994","+/- 3,072","4,503","+/- 1,793","1,426","+/- 1,525",217,+/- 247,"29,883","+/- 4,089",N/A,N/A,"1,496",+/- 829,"1,520",+/- 664,"9,978","+/- 2,110",584,+/- 319,712,+/- 406,"1,521",+/- 775,926,+/- 478,"8,950","+/- 2,085","1,989",+/- 737,"1,568",+/- 653,"2,363","+/- 1,023",0,+/- 192,108,+/- 128,480,+/- 437,575,+/- 785,"4,923","+/- 2,661",645,+/- 674,"2,583","+/- 1,042","4,496","+/- 3,074",498,+/- 418,"13,303","+/- 2,995",645,+/- 447,"1,386","+/- 1,015","2,165",+/- 921,0,+/- 192,"1,630","+/- 1,145",0,+/- 192,"2,979",+/- 951,"9,403","+/- 3,865",254,+/- 245,119,+/- 199,"3,188","+/- 1,221","1,203",+/- 801,156,+/- 142,"2,460",+/- 998,0,+/- 192,"26,787",Midwest_states
Iowa,"3,097,283","+/- 2,760","2,622,577","+/- 14,595","383,520","+/- 13,922","78,263","+/- 5,607",395,+/- 298,662,+/- 675,"1,556",+/- 770,315,+/- 323,"2,380",+/- 827,"3,478","+/- 1,391",60,+/- 99,0,+/- 159,14,+/- 25,"1,749",+/- 810,866,+/- 593,30,+/- 53,566,+/- 491,"14,948","+/- 3,015","1,876",+/- 678,N/A,N/A,"1,871",+/- 869,"1,255",+/- 750,573,+/- 318,410,+/- 290,538,+/- 449,170,+/- 160,944,+/- 475,"7,633","+/- 1,823",594,+/- 369,"6,509","+/- 2,121",301,+/- 225,"6,812","+/- 1,599",702,+/- 476,77,+/- 132,"1,028",+/- 569,412,+/- 378,807,+/- 411,"1,755",+/- 992,"1,008",+/- 623,"1,261",+/- 703,754,+/- 480,16,+/- 27,710,+/- 385,25,+/- 39,138,+/- 231,"1,192",+/- 564,"1,256",+/- 736,"3,437","+/- 1,359",496,+/- 278,137,+/- 190,663,+/- 475,"1,662",+/- 872,203,+/- 255,"3,848","+/- 1,011",171,+/- 185,"12,923",Midwest_states
Kansas,"2,870,529","+/- 2,533","2,394,351","+/- 14,952","369,971","+/- 12,594","88,830","+/- 6,459",879,+/- 771,291,+/- 307,"2,664","+/- 1,167","1,526",+/- 624,"4,526","+/- 1,461","5,355","+/- 1,640",0,+/- 174,0,+/- 174,94,+/- 164,"2,944","+/- 1,445","2,403",+/- 980,245,+/- 272,97,+/- 134,"2,545","+/- 1,255",735,+/- 861,"2,467","+/- 1,104",N/A,N/A,525,+/- 417,402,+/- 370,0,+/- 174,672,+/- 573,"1,237",+/- 688,152,+/- 182,"1,192",+/- 621,251,+/- 259,"22,577","+/- 4,258",683,+/- 612,"2,821","+/- 1,020",247,+/- 233,0,+/- 174,900,+/- 774,401,+/- 348,"2,807","+/- 1,496","1,625","+/- 1,217",373,+/- 378,735,+/- 446,"5,607","+/- 1,307",570,+/- 412,465,+/- 286,384,+/- 625,176,+/- 197,584,+/- 564,"1,754","+/- 1,163","10,102","+/- 2,109",845,+/- 616,71,+/- 127,"1,812",+/- 956,"1,885","+/- 1,158",0,+/- 174,125,+/- 158,79,+/- 93,"17,377",Midwest_states
Kentucky,"4,385,213","+/- 2,955","3,698,797","+/- 19,715","553,718","+/- 18,441","113,238","+/- 7,668","2,272",+/- 934,361,+/- 316,"1,177",+/- 737,756,+/- 543,"6,594","+/- 2,024","2,721","+/- 1,140",329,+/- 406,0,+/- 190,0,+/- 190,"9,255","+/- 2,269","4,845","+/- 1,580",103,+/- 156,0,+/- 190,"6,394","+/- 1,591","10,990","+/- 2,072",709,+/- 436,"1,503","+/- 1,013",N/A,N/A,"1,358","+/- 1,553",411,+/- 427,"1,087",+/- 711,530,+/- 286,"3,005",+/- 987,947,+/- 462,"1,710","+/- 1,195","2,379","+/- 1,427",30,+/- 48,103,+/- 127,695,+/- 583,679,+/- 606,572,+/- 447,101,+/- 176,"3,404","+/- 1,351","3,557","+/- 1,633",282,+/- 429,"13,426","+/- 2,495",600,+/- 477,285,+/- 245,"2,084","+/- 1,133",0,+/- 190,"1,375",+/- 839,318,+/- 357,"12,132","+/- 2,644","5,585","+/- 1,792",874,+/- 791,0,+/- 190,"3,145","+/- 1,429",313,+/- 268,"2,929","+/- 1,153","1,313",+/- 618,0,+/- 190,"19,460",South_states
Louisiana,"4,622,042","+/- 3,291","3,994,321","+/- 24,494","526,380","+/- 22,229","85,371","+/- 7,322","5,658","+/- 2,048",359,+/- 361,857,+/- 607,"1,471",+/- 695,"4,654","+/- 1,462","2,529","+/- 1,445",192,+/- 171,0,+/- 208,54,+/- 91,"3,597","+/- 1,268","3,280","+/- 1,745",292,+/- 372,464,+/- 479,"2,556","+/- 1,202",270,+/- 202,"1,315","+/- 1,364","1,497","+/- 1,028",276,+/- 200,N/A,N/A,35,+/- 59,248,+/- 217,"1,024",+/- 923,"1,026",+/- 582,415,+/- 476,"8,208","+/- 2,435","1,005",+/- 427,606,+/- 801,145,+/- 234,112,+/- 138,0,+/- 208,552,+/- 454,158,+/- 204,"1,882",+/- 723,"4,565","+/- 2,051",0,+/- 208,"1,373",+/- 779,"1,807","+/- 1,352",607,+/- 644,965,+/- 559,170,+/- 244,992,+/- 609,118,+/- 190,"2,184","+/- 1,217","21,925","+/- 4,335",280,+/- 167,122,+/- 108,"2,548","+/- 1,618","1,516",+/- 855,586,+/- 792,714,+/- 399,162,+/- 168,"15,970",South_states
