Current residence in --,Population (1yr ago) Est,MOE,Same house (1yr ago) Est,MOE,Same state of residence (1yr ago) Est,MOE,Different state of residence (1yr ago) Total Est,MOE,Alabama,MOE,Alaska,MOE,Arizona,MOE,Arkansas,MOE,California,MOE,Colorado,MOE,Connecticut,MOE,Delaware,MOE,District of Columbia ,MOE,Florida,MOE,Georgia,MOE,Hawaii,MOE,Idaho,MOE,Illinois,MOE,Indiana,MOE,Iowa,MOE,Kansas,MOE,Kentucky,MOE,Louisiana,MOE,Maine,MOE,Maryland,MOE,Massachusetts,MOE,Michigan,MOE,Minnesota,MOE,Mississippi,MOE,Missouri,MOE,Montana,MOE,Nebraska,MOE,Nevada,MOE,New Hampshire,MOE,New Jersey,MOE,New Mexico,MOE,New York,MOE,North Carolina,MOE,North Dakota,MOE,Ohio,MOE,Oklahoma,MOE,Oregon,MOE,Pennsylvania,MOE,Rhode Island,MOE,South Carolina,MOE,South Dakota,MOE,Tennessee,MOE,Texas,MOE,Utah,MOE,Vermont,MOE,Virginia,MOE,Washington,MOE,West Virginia,MOE,Wisconsin,MOE,Wyoming,MOE,Abroad(1yr ago) Est,Region
United States1,"310,212,755","+/- 25,814","263,612,596","+/- 229,733","37,696,597","+/- 211,307","7,070,345","+/- 58,599","109,210","+/- 9,027","84,068","+/- 7,600","206,842","+/- 12,859","64,967","+/- 6,563","566,986","+/- 19,755","161,530","+/- 10,348","87,023","+/- 5,968","25,149","+/- 3,775","59,513","+/- 6,154","428,325","+/- 18,406","252,262","+/- 12,868","61,509","+/- 6,100","55,191","+/- 6,257","277,953","+/- 12,722","144,597","+/- 8,929","73,325","+/- 6,129","93,134","+/- 7,286","103,004","+/- 7,490","95,956","+/- 7,745","38,574","+/- 5,351","157,664","+/- 9,686","158,156","+/- 10,755","175,733","+/- 9,302","115,946","+/- 8,402","66,947","+/- 7,206","142,754","+/- 9,402","33,832","+/- 4,879","48,816","+/- 4,967","98,882","+/- 9,332","38,696","+/- 3,364","219,202","+/- 11,087","63,921","+/- 5,867","405,864","+/- 15,692","238,663","+/- 13,414","23,959","+/- 3,373","199,202","+/- 10,288","102,572","+/- 9,213","108,182","+/- 7,867","237,156","+/- 10,246","30,498","+/- 3,414","127,418","+/- 8,502","22,534","+/- 2,998","163,843","+/- 8,717","402,187","+/- 15,471","82,165","+/- 8,304","20,056","+/- 2,967","238,540","+/- 11,611","180,462","+/- 9,674","47,425","+/- 5,262","97,724","+/- 5,859","32,228","+/- 5,150","1,833,217",All
Alabama,"4,764,428","+/- 3,589","4,054,260","+/- 21,464","590,326","+/- 19,701","104,600","+/- 8,482",N/A,N/A,"1,004",+/- 829,962,+/- 583,660,+/- 382,"3,077","+/- 1,037","1,386","+/- 1,393",284,+/- 256,42,+/- 68,162,+/- 195,"11,244","+/- 2,476","19,920","+/- 3,636",627,+/- 477,493,+/- 456,"2,722","+/- 1,030","1,347",+/- 536,345,+/- 337,865,+/- 760,"2,495",+/- 981,"3,104","+/- 1,216",67,+/- 82,"1,513",+/- 847,334,+/- 272,"2,298",+/- 881,752,+/- 716,"4,952","+/- 1,703","1,555",+/- 836,101,+/- 132,151,+/- 167,"1,009",+/- 824,161,+/- 166,"1,702","+/- 1,200",459,+/- 576,"2,709","+/- 1,188","5,133","+/- 1,788",228,+/- 194,"1,411",+/- 576,194,+/- 157,200,+/- 169,"1,837",+/- 736,0,+/- 184,"2,811","+/- 1,951",518,+/- 758,"10,539","+/- 2,731","7,468","+/- 2,136",579,+/- 713,0,+/- 184,"3,170","+/- 1,577","1,034",+/- 684,128,+/- 156,760,+/- 605,88,+/- 107,"15,242",South_states
Alaska,"721,186","+/- 1,290","592,551","+/- 8,741","90,613","+/- 7,239","33,415","+/- 4,385","1,097",+/- 825,N/A,N/A,"1,520","+/- 1,441",196,+/- 202,"3,494","+/- 1,643",556,+/- 279,0,+/- 143,0,+/- 143,356,+/- 459,"1,991",+/- 942,928,+/- 894,"1,376",+/- 805,538,+/- 387,58,+/- 118,260,+/- 235,13,+/- 24,221,+/- 272,161,+/- 196,120,+/- 145,66,+/- 62,508,+/- 591,297,+/- 289,563,+/- 426,192,+/- 191,56,+/- 76,819,+/- 628,371,+/- 334,"1,195","+/- 1,128",803,+/- 382,118,+/- 206,116,+/- 156,263,+/- 219,736,+/- 576,920,+/- 784,264,+/- 359,"1,316",+/- 757,335,+/- 252,"3,174","+/- 1,510",255,+/- 240,0,+/- 143,384,+/- 394,99,+/- 123,451,+/- 413,"1,488",+/- 760,330,+/- 347,79,+/- 108,"1,265",+/- 674,"3,725","+/- 1,488",0,+/- 143,206,+/- 261,136,+/- 217,"4,607",West_states
Arizona,"6,468,907","+/- 3,874","5,242,674","+/- 32,185","953,789","+/- 28,803","232,457","+/- 14,183","1,331","+/- 1,286","3,717","+/- 1,505",N/A,N/A,"1,214",+/- 659,"44,889","+/- 5,435","13,790","+/- 6,133",417,+/- 309,246,+/- 215,36,+/- 60,"5,553","+/- 2,160","2,263",+/- 961,"2,491","+/- 1,285","2,934","+/- 1,362","10,744","+/- 2,614","2,930","+/- 1,447","2,702","+/- 1,000","2,498",+/- 852,"1,328",+/- 997,724,+/- 442,616,+/- 593,"3,007","+/- 1,288","1,961","+/- 1,083","9,598","+/- 3,471","8,570","+/- 3,050",293,+/- 215,"2,595","+/- 1,099","1,118",+/- 536,"2,293","+/- 1,037","6,712","+/- 2,202",510,+/- 443,"2,564","+/- 1,085","6,946","+/- 1,907","7,402","+/- 2,615","2,721",+/- 939,877,+/- 444,"7,906","+/- 2,239","1,626",+/- 838,"8,587","+/- 3,200","4,280","+/- 1,395",614,+/- 687,"1,070",+/- 573,"1,472",+/- 776,"5,075","+/- 1,919","14,788","+/- 3,541","5,916","+/- 1,789",207,+/- 291,"2,763","+/- 1,031","13,247","+/- 2,448",765,+/- 734,"3,765","+/- 1,168","2,786","+/- 1,401","39,987",West_states
Arkansas,"2,912,680","+/- 2,753","2,453,347","+/- 16,841","373,046","+/- 14,543","76,948","+/- 7,223",374,+/- 293,855,+/- 906,"1,677",+/- 954,N/A,N/A,"3,525","+/- 1,202",603,+/- 369,185,+/- 264,0,+/- 184,205,+/- 232,"2,682","+/- 1,052","1,525","+/- 1,006",0,+/- 184,0,+/- 184,"3,576","+/- 1,286","1,172",+/- 587,409,+/- 330,"1,033",+/- 539,"1,310",+/- 884,"3,953","+/- 1,340",17,+/- 39,169,+/- 209,254,+/- 262,"1,283",+/- 607,295,+/- 285,"3,689","+/- 2,537","9,105","+/- 2,916",258,+/- 293,166,+/- 201,121,+/- 161,0,+/- 184,157,+/- 171,547,+/- 482,"2,262","+/- 1,559","3,057","+/- 2,173",0,+/- 184,"1,135",+/- 626,"9,938","+/- 2,371",193,+/- 179,516,+/- 475,59,+/- 103,52,+/- 71,673,+/- 588,"4,195","+/- 1,127","11,767","+/- 2,841",269,+/- 216,0,+/- 184,"1,159",+/- 824,251,+/- 226,84,+/- 148,695,+/- 467,"1,498","+/- 2,098","9,339",South_states
California,"37,572,738","+/- 10,274","31,777,868","+/- 67,939","5,046,618","+/- 65,422","493,641","+/- 19,652","2,509",+/- 983,"6,995","+/- 1,948","38,916","+/- 5,726","3,472","+/- 1,354",N/A,N/A,"15,150","+/- 2,598","6,764","+/- 2,194",474,+/- 413,"3,199","+/- 1,061","21,004","+/- 3,394","10,790","+/- 2,458","11,906","+/- 2,720","5,331","+/- 1,519","21,251","+/- 3,521","5,891","+/- 1,629","2,284",+/- 987,"2,790",+/- 984,"3,763","+/- 1,292","5,180","+/- 1,525","1,256",+/- 951,"7,902","+/- 2,347","14,356","+/- 2,682","8,921","+/- 2,069","8,539","+/- 1,942","2,556",+/- 993,"6,729","+/- 1,595","3,060","+/- 1,275","3,302","+/- 2,007","27,968","+/- 3,857","1,327",+/- 615,"12,057","+/- 2,447","5,921","+/- 2,240","31,261","+/- 5,136","11,195","+/- 2,366","1,827","+/- 1,272","10,653","+/- 2,869","6,671","+/- 1,795","22,724","+/- 3,271","10,466","+/- 2,392","1,648",+/- 697,"4,110","+/- 1,492",826,+/- 674,"5,802","+/- 1,880","43,005","+/- 5,519","12,172","+/- 2,457",544,+/- 345,"15,625","+/- 3,457","34,569","+/- 4,540","1,413","+/- 1,135","5,681","+/- 1,716","1,886","+/- 1,117","254,611",West_states
Colorado,"5,123,944","+/- 2,939","4,131,357","+/- 21,752","751,921","+/- 19,587","205,060","+/- 11,855","3,108","+/- 1,610","3,457","+/- 1,695","10,589","+/- 2,218","1,043",+/- 580,"22,152","+/- 4,260",N/A,N/A,"1,317",+/- 677,70,+/- 133,488,+/- 387,"8,615","+/- 1,907","5,834","+/- 2,086","2,536","+/- 1,020","2,660","+/- 1,468","6,374","+/- 1,617","4,336","+/- 2,128","2,776","+/- 1,486","5,283","+/- 1,843","2,500","+/- 2,135","5,048","+/- 2,468",20,+/- 40,"2,844","+/- 1,196","5,939","+/- 2,238","3,343","+/- 1,293","2,992",+/- 909,835,+/- 522,"3,771","+/- 1,262","2,021",+/- 923,"4,472","+/- 1,729","3,789","+/- 1,433",679,+/- 308,"2,464","+/- 1,179","6,520","+/- 1,851","7,250","+/- 2,604","4,378","+/- 1,678","1,918","+/- 1,071","4,533","+/- 2,214","4,582","+/- 2,102","2,419",+/- 836,"3,950","+/- 1,530",137,+/- 153,"2,383","+/- 1,479",756,+/- 553,"2,535","+/- 1,135","17,355","+/- 3,352","6,398","+/- 2,035",503,+/- 371,"3,796","+/- 1,568","4,853","+/- 1,401",837,+/- 429,"3,000","+/- 1,006","5,602","+/- 2,808","35,606",West_states
Connecticut,"3,555,319","+/- 2,447","3,114,940","+/- 16,188","334,918","+/- 14,546","80,311","+/- 6,574",46,+/- 103,439,+/- 511,"3,167","+/- 3,028",200,+/- 228,"3,161","+/- 1,015",367,+/- 341,N/A,N/A,22,+/- 36,288,+/- 230,"6,578","+/- 1,844","1,702",+/- 971,408,+/- 476,97,+/- 155,912,+/- 583,53,+/- 90,0,+/- 193,0,+/- 193,124,+/- 159,909,+/- 733,"1,224",+/- 696,"1,752",+/- 748,"8,743","+/- 1,587",753,+/- 539,605,+/- 564,276,+/- 293,358,+/- 330,50,+/- 91,45,+/- 74,172,+/- 166,"1,009",+/- 551,"5,665","+/- 1,490",444,+/- 450,"23,310","+/- 3,774","3,379","+/- 1,609",0,+/- 193,287,+/- 254,415,+/- 411,35,+/- 58,"2,214","+/- 1,037","1,558",+/- 689,940,+/- 665,0,+/- 193,260,+/- 216,"3,279","+/- 1,568",45,+/- 69,709,+/- 556,"1,729",+/- 707,"1,593","+/- 1,274",174,+/- 293,711,+/- 684,104,+/- 120,"25,150",Northeast_states
Delaware,"906,576","+/- 1,624","782,216","+/- 9,177","86,003","+/- 7,626","34,757","+/- 4,691",119,+/- 164,692,+/- 920,188,+/- 227,0,+/- 182,"2,221","+/- 2,189",0,+/- 182,"1,489",+/- 679,N/A,N/A,11,+/- 21,715,+/- 481,179,+/- 224,0,+/- 182,32,+/- 51,567,+/- 468,62,+/- 80,30,+/- 49,113,+/- 190,0,+/- 182,178,+/- 266,0,+/- 182,"5,649","+/- 1,598",157,+/- 131,227,+/- 233,351,+/- 390,58,+/- 110,80,+/- 138,0,+/- 182,91,+/- 116,572,+/- 474,99,+/- 127,"5,846","+/- 2,122",85,+/- 136,"3,566","+/- 1,751","1,349",+/- 809,0,+/- 182,191,+/- 201,0,+/- 182,0,+/- 182,"6,828","+/- 1,815",135,+/- 185,298,+/- 235,0,+/- 182,344,+/- 440,133,+/- 158,166,+/- 279,0,+/- 182,"1,746",+/- 910,29,+/- 49,161,+/- 205,0,+/- 182,0,+/- 182,"3,600",South_states
District of Columbia ,"624,847",+/- 948,"500,267","+/- 6,225","61,992","+/- 5,668","53,830","+/- 5,001",79,+/- 138,"1,247",+/- 715,902,+/- 646,35,+/- 59,"4,999","+/- 2,108",677,+/- 546,618,+/- 439,78,+/- 127,N/A,N/A,"1,705",+/- 661,"1,079",+/- 470,38,+/- 87,46,+/- 75,795,+/- 446,469,+/- 379,133,+/- 221,164,+/- 267,112,+/- 136,283,+/- 295,194,+/- 244,"14,120","+/- 2,487","1,524",+/- 717,944,+/- 670,393,+/- 240,44,+/- 74,337,+/- 354,0,+/- 197,172,+/- 182,42,+/- 69,197,+/- 183,"1,451",+/- 792,116,+/- 139,"3,085",+/- 851,985,+/- 503,0,+/- 197,651,+/- 429,0,+/- 197,157,+/- 182,"1,494",+/- 608,635,+/- 596,150,+/- 140,0,+/- 197,577,+/- 478,"1,473",+/- 826,116,+/- 145,267,+/- 250,"9,537","+/- 1,762",481,+/- 358,293,+/- 219,721,+/- 420,215,+/- 303,"8,758",South_states
