Current residence in --,Population (1yr ago) Est,MOE,Same house (1yr ago) Est,MOE,Same state of residence (1yr ago) Est,MOE,Different state of residence (1yr ago) Total Est,MOE,Alabama,MOE,Alaska,MOE,Arizona,MOE,Arkansas,MOE,California,MOE,Colorado,MOE,Connecticut,MOE,Delaware,MOE,District of Columbia ,MOE,Florida,MOE,Georgia,MOE,Hawaii,MOE,Idaho,MOE,Illinois,MOE,Indiana,MOE,Iowa,MOE,Kansas,MOE,Kentucky,MOE,Louisiana,MOE,Maine,MOE,Maryland,MOE,Massachusetts,MOE,Michigan,MOE,Minnesota,MOE,Mississippi,MOE,Missouri,MOE,Montana,MOE,Nebraska,MOE,Nevada,MOE,New Hampshire,MOE,New Jersey,MOE,New Mexico,MOE,New York,MOE,North Carolina,MOE,North Dakota,MOE,Ohio,MOE,Oklahoma,MOE,Oregon,MOE,Pennsylvania,MOE,Rhode Island,MOE,South Carolina,MOE,South Dakota,MOE,Tennessee,MOE,Texas,MOE,Utah,MOE,Vermont,MOE,Virginia,MOE,Washington,MOE,West Virginia,MOE,Wisconsin,MOE,Wyoming,MOE,Abroad(1yr ago) Est,Region
Florida,"19,114,620","+/- 6,877","16,032,617","+/- 49,245","2,380,288","+/- 44,658","537,148","+/- 19,784","18,599","+/- 4,762","10,704","+/- 4,327","6,473","+/- 1,865","3,321","+/- 1,136","20,386","+/- 4,221","8,766","+/- 2,537","8,975","+/- 1,882","1,099",+/- 608,780,+/- 481,N/A,N/A,"42,754","+/- 6,205","3,177","+/- 2,730","1,268",+/- 923,"22,565","+/- 3,828","13,803","+/- 2,852","3,864","+/- 1,332","5,661","+/- 3,133","6,912","+/- 1,607","5,550","+/- 2,266","7,348","+/- 3,032","10,442","+/- 2,378","15,159","+/- 2,747","23,400","+/- 3,519","5,460","+/- 2,185","5,490","+/- 3,345","10,666","+/- 3,498","1,758","+/- 2,104",945,+/- 713,"1,241",+/- 515,"2,362",+/- 922,"27,606","+/- 4,242","2,853","+/- 1,004","53,009","+/- 5,886","23,133","+/- 3,843",239,+/- 203,"22,927","+/- 4,305","3,142","+/- 1,301","2,919","+/- 1,736","25,659","+/- 4,174","3,050","+/- 1,458","11,366","+/- 2,719","1,070",+/- 762,"16,275","+/- 3,583","28,564","+/- 4,750","2,499","+/- 1,348","2,747","+/- 1,190","25,697","+/- 3,965","4,943","+/- 1,710","3,533","+/- 1,587","6,216","+/- 1,993",773,+/- 567,"164,567",South_states
Georgia,"9,796,547","+/- 5,863","8,231,384","+/- 34,188","1,236,302","+/- 31,155","277,466","+/- 14,075","13,864","+/- 2,903","2,654","+/- 1,444","6,657","+/- 2,675","1,041",+/- 519,"14,174","+/- 3,182","4,710","+/- 2,093","1,829",+/- 824,226,+/- 246,"1,352",+/- 994,"42,870","+/- 5,472",N/A,N/A,"1,409",+/- 831,936,+/- 797,"7,143","+/- 1,833","5,972","+/- 2,678","1,687","+/- 1,036","1,497",+/- 707,"6,172","+/- 1,972","4,100","+/- 1,490",222,+/- 178,"3,619","+/- 1,621","4,153","+/- 1,720","9,949","+/- 3,100","2,237","+/- 2,164","3,280","+/- 1,372","3,377","+/- 1,479",251,+/- 224,"1,283","+/- 1,001","3,783","+/- 2,622",15,+/- 27,"4,920","+/- 1,544",915,+/- 512,"13,957","+/- 3,960","16,009","+/- 2,963",207,+/- 250,"7,501","+/- 2,501","3,299","+/- 1,818",453,+/- 472,"9,076","+/- 2,622",440,+/- 620,"18,611","+/- 3,871",257,+/- 291,"17,606","+/- 4,620","16,198","+/- 3,367",20,+/- 35,84,+/- 142,"10,702","+/- 2,094","1,965",+/- 826,"1,237",+/- 625,"3,441","+/- 1,725",106,+/- 154,"51,395",South_states
Hawaii,"1,374,852","+/- 1,662","1,164,145","+/- 10,466","134,827","+/- 9,196","55,145","+/- 5,749",608,+/- 479,"1,417",+/- 869,"1,865",+/- 695,24,+/- 54,"9,756","+/- 1,508","1,216",+/- 574,191,+/- 222,278,+/- 253,230,+/- 253,"2,780","+/- 1,227","1,448",+/- 639,N/A,N/A,404,+/- 431,318,+/- 194,292,+/- 261,84,+/- 98,"1,135",+/- 709,485,+/- 630,207,+/- 183,91,+/- 147,"2,491","+/- 1,610","1,266",+/- 962,321,+/- 189,192,+/- 240,44,+/- 52,944,+/- 630,131,+/- 172,75,+/- 125,760,+/- 424,85,+/- 119,410,+/- 435,284,+/- 243,"2,382","+/- 1,279","2,241","+/- 1,274",0,+/- 177,884,+/- 995,"1,095",+/- 933,"1,763",+/- 764,"1,087",+/- 770,106,+/- 176,644,+/- 460,459,+/- 726,"1,314",+/- 675,"3,300","+/- 1,887","2,183","+/- 1,283",0,+/- 177,"1,393",+/- 755,"5,920","+/- 1,901",197,+/- 330,295,+/- 234,50,+/- 66,"20,735",West_states
Idaho,"1,573,036","+/- 2,184","1,296,975","+/- 12,998","210,151","+/- 11,483","59,283","+/- 6,040",575,+/- 838,"1,198",+/- 790,"2,424","+/- 1,307",291,+/- 268,"10,280","+/- 2,708","1,186",+/- 614,44,+/- 81,120,+/- 199,116,+/- 124,"2,014","+/- 1,608",583,+/- 848,206,+/- 194,N/A,N/A,532,+/- 469,283,+/- 282,90,+/- 170,63,+/- 69,83,+/- 128,54,+/- 92,0,+/- 187,107,+/- 161,338,+/- 391,683,+/- 777,637,+/- 528,87,+/- 170,214,+/- 259,"3,800","+/- 2,162",35,+/- 60,"2,535","+/- 1,031",0,+/- 187,214,+/- 206,675,+/- 554,938,+/- 554,817,+/- 843,0,+/- 187,"1,018",+/- 753,93,+/- 108,"4,963","+/- 1,377",169,+/- 181,0,+/- 187,205,+/- 238,118,+/- 192,"1,957","+/- 1,539","1,352",+/- 714,"6,617","+/- 3,016",0,+/- 187,269,+/- 388,"10,398","+/- 1,919",0,+/- 187,225,+/- 272,677,+/- 406,"6,627",West_states
Illinois,"12,725,119","+/- 5,939","11,009,321","+/- 31,714","1,441,191","+/- 27,618","208,755","+/- 10,844",883,+/- 478,"2,250","+/- 1,511","7,139","+/- 2,314","1,587",+/- 643,"14,940","+/- 2,770","3,036","+/- 1,235",955,+/- 634,234,+/- 228,"1,066",+/- 615,"12,687","+/- 2,735","8,745","+/- 3,894",869,+/- 593,"1,384",+/- 868,N/A,N/A,"16,907","+/- 2,654","8,529","+/- 1,959","2,009",+/- 988,"2,923","+/- 1,049","1,229",+/- 561,526,+/- 347,"1,865",+/- 755,"3,296","+/- 1,088","12,583","+/- 3,412","6,537","+/- 1,781","2,744","+/- 1,178","13,264","+/- 3,449",228,+/- 183,"1,302",+/- 637,"1,478",+/- 817,283,+/- 255,"2,366","+/- 1,097","1,359","+/- 1,078","7,561","+/- 2,307","3,761","+/- 1,150",196,+/- 184,"6,872","+/- 1,834","1,491",+/- 860,954,+/- 517,"4,588","+/- 1,506",462,+/- 478,"1,583",+/- 875,394,+/- 444,"4,648","+/- 1,468","16,780","+/- 3,035","1,154",+/- 495,156,+/- 133,"4,311","+/- 1,212","2,704",+/- 971,"1,221","+/- 1,224","14,414","+/- 2,249",302,+/- 309,"65,852",Midwest_states
Indiana,"6,457,067","+/- 4,184","5,493,090","+/- 26,865","805,228","+/- 22,224","134,137","+/- 9,664","1,625",+/- 788,479,+/- 429,"2,763","+/- 1,095",564,+/- 753,"6,033","+/- 1,477","1,225",+/- 531,823,+/- 595,639,+/- 831,"1,045",+/- 733,"11,472","+/- 2,864","2,258","+/- 1,176",856,+/- 998,186,+/- 176,"28,436","+/- 4,261",N/A,N/A,"1,678",+/- 860,"1,624",+/- 785,"11,177","+/- 2,929",736,+/- 416,0,+/- 184,"1,050",+/- 648,837,+/- 590,"11,017","+/- 2,594","1,543",+/- 732,"1,948","+/- 1,655","4,526","+/- 1,802",134,+/- 191,591,+/- 541,"1,011",+/- 549,0,+/- 184,"1,537","+/- 1,034",219,+/- 245,"2,316",+/- 724,"2,665",+/- 884,113,+/- 164,"11,235","+/- 2,192","1,198",+/- 725,387,+/- 239,"2,419","+/- 1,101",0,+/- 184,"1,414",+/- 901,111,+/- 147,"3,547","+/- 1,422","4,490","+/- 1,562",105,+/- 124,0,+/- 184,"1,932","+/- 1,101",258,+/- 221,507,+/- 345,"1,727",+/- 769,"1,681","+/- 2,023","24,612",Midwest_states
Iowa,"3,035,469","+/- 2,721","2,585,979","+/- 14,093","362,938","+/- 11,238","75,760","+/- 5,982",503,+/- 400,951,+/- 814,"1,590",+/- 803,451,+/- 237,"3,268","+/- 1,296","3,252","+/- 1,250",112,+/- 135,0,+/- 151,151,+/- 155,"4,335","+/- 2,060",596,+/- 481,521,+/- 476,290,+/- 218,"11,969","+/- 2,313","1,716","+/- 1,097",N/A,N/A,918,+/- 500,819,+/- 609,763,+/- 568,78,+/- 125,419,+/- 287,585,+/- 520,946,+/- 497,"7,505","+/- 1,826",751,+/- 621,"4,168","+/- 1,021",452,+/- 305,"7,698","+/- 1,806",681,+/- 602,56,+/- 93,"1,018",+/- 767,114,+/- 188,"1,230",+/- 819,734,+/- 428,833,+/- 617,"1,127",+/- 692,"1,465",+/- 974,348,+/- 302,451,+/- 353,0,+/- 151,943,+/- 556,"1,158",+/- 441,"1,148",+/- 871,"3,553","+/- 1,275",886,+/- 880,0,+/- 151,268,+/- 200,919,+/- 485,22,+/- 41,"3,607",+/- 849,392,+/- 316,"10,792",Midwest_states
Kansas,"2,848,708","+/- 2,507","2,361,899","+/- 16,878","381,695","+/- 15,902","88,284","+/- 7,145",853,+/- 609,333,+/- 407,"3,094","+/- 1,630","2,158",+/- 890,"5,411","+/- 2,012","3,746","+/- 1,360",210,+/- 208,0,+/- 165,456,+/- 737,"3,118","+/- 1,380","1,896","+/- 1,395",149,+/- 156,456,+/- 356,"1,702",+/- 582,"1,679",+/- 839,"1,527",+/- 860,N/A,N/A,617,+/- 476,438,+/- 408,211,+/- 225,282,+/- 282,187,+/- 203,"1,125",+/- 682,682,+/- 367,452,+/- 501,"21,022","+/- 3,073",300,+/- 326,"4,126","+/- 1,245",851,+/- 606,0,+/- 165,267,+/- 228,"1,029",+/- 627,571,+/- 367,813,+/- 476,261,+/- 263,"1,310",+/- 638,"8,408","+/- 2,299",848,+/- 557,918,+/- 672,18,+/- 31,556,+/- 375,154,+/- 195,"1,542",+/- 825,"8,468","+/- 2,434",97,+/- 106,70,+/- 138,"1,705",+/- 853,"3,265","+/- 1,675",139,+/- 132,486,+/- 530,278,+/- 239,"16,830",Midwest_states
Kentucky,"4,328,626","+/- 2,851","3,676,472","+/- 15,304","521,511","+/- 14,825","112,787","+/- 7,854","4,137","+/- 1,628",304,+/- 370,"1,103",+/- 715,518,+/- 299,"3,415","+/- 1,157",712,+/- 572,246,+/- 290,706,+/- 774,254,+/- 262,"9,232","+/- 2,697","4,173","+/- 1,184",647,+/- 665,50,+/- 91,"4,445","+/- 1,359","12,203","+/- 2,150",238,+/- 257,602,+/- 464,N/A,N/A,666,+/- 294,46,+/- 80,"1,120",+/- 615,419,+/- 285,"7,302","+/- 1,809",605,+/- 346,646,+/- 467,"2,381","+/- 1,021",0,+/- 181,723,+/- 588,301,+/- 294,84,+/- 103,496,+/- 551,554,+/- 348,"5,239","+/- 1,774","3,643","+/- 1,903",122,+/- 192,"17,041","+/- 3,384",577,+/- 437,298,+/- 212,"2,226",+/- 964,0,+/- 181,"1,347",+/- 671,0,+/- 181,"10,064","+/- 2,378","3,345","+/- 1,420",464,+/- 360,45,+/- 81,"3,319","+/- 1,111","1,988",+/- 998,"3,346","+/- 1,472","1,395",+/- 845,0,+/- 181,"17,856",South_states
Louisiana,"4,545,914","+/- 4,612","3,912,023","+/- 21,791","528,406","+/- 20,131","91,215","+/- 6,941","2,329","+/- 1,114",403,+/- 467,"2,021","+/- 1,191","3,645","+/- 2,324","5,139","+/- 1,438","1,433","+/- 1,002",164,+/- 149,0,+/- 193,596,+/- 517,"6,534","+/- 2,276","4,478","+/- 1,559",378,+/- 283,265,+/- 242,"1,229",+/- 466,"1,359",+/- 954,544,+/- 447,420,+/- 392,"1,649","+/- 1,224",N/A,N/A,251,+/- 334,642,+/- 701,549,+/- 354,"1,080",+/- 782,330,+/- 324,"6,791","+/- 1,938","1,591",+/- 684,428,+/- 524,745,+/- 538,931,+/- 682,11,+/- 21,975,+/- 575,150,+/- 188,"2,786","+/- 1,105","2,284","+/- 1,152",64,+/- 113,"1,115",+/- 773,"2,159","+/- 1,365",195,+/- 232,"1,239",+/- 616,737,+/- 695,"1,914","+/- 1,377",0,+/- 193,"2,348","+/- 1,546","24,488","+/- 4,076",277,+/- 288,45,+/- 72,"1,857","+/- 1,033","1,581",+/- 631,238,+/- 271,682,+/- 474,146,+/- 216,"14,270",South_states
Maine,"1,315,586","+/- 1,384","1,132,344","+/- 9,895","151,438","+/- 9,223","27,523","+/- 3,132",129,+/- 172,38,+/- 48,230,+/- 170,0,+/- 155,"1,610",+/- 860,314,+/- 287,"1,468",+/- 620,234,+/- 299,32,+/- 55,"2,926","+/- 1,292",511,+/- 538,0,+/- 155,143,+/- 128,195,+/- 277,0,+/- 155,7,+/- 16,277,+/- 401,482,+/- 521,15,+/- 30,N/A,N/A,325,+/- 263,"3,887","+/- 1,167",116,+/- 123,430,+/- 359,79,+/- 134,69,+/- 112,0,+/- 155,82,+/- 136,35,+/- 56,"3,655","+/- 1,077",405,+/- 281,272,+/- 320,"2,519","+/- 1,180","1,112",+/- 574,0,+/- 155,628,+/- 368,79,+/- 115,215,+/- 255,976,+/- 600,"1,024",+/- 656,173,+/- 143,0,+/- 155,985,"+/- 1,062",496,+/- 381,200,+/- 183,349,+/- 340,573,+/- 408,118,+/- 137,51,+/- 85,0,+/- 155,59,+/- 81,"4,281",Northeast_states
Maryland,"5,816,472","+/- 3,717","5,068,457","+/- 21,604","549,973","+/- 20,595","154,983","+/- 8,958","1,261",+/- 713,"1,947","+/- 1,123",760,+/- 359,136,+/- 159,"8,614","+/- 2,155","1,071",+/- 609,881,+/- 516,"4,100","+/- 1,303","21,213","+/- 3,437","9,610","+/- 2,515","4,610","+/- 2,430",610,+/- 474,429,+/- 444,"3,621","+/- 1,647","1,210",+/- 709,569,+/- 389,"1,726","+/- 1,123",715,+/- 602,606,+/- 441,332,+/- 261,N/A,N/A,"3,977","+/- 1,805","2,167",+/- 973,"1,422",+/- 707,581,+/- 706,256,+/- 199,0,+/- 190,132,+/- 152,330,+/- 258,"1,124",+/- 820,"6,260","+/- 2,244",638,+/- 453,"11,736","+/- 2,585","7,507","+/- 2,284",116,+/- 94,"2,522","+/- 1,035",463,+/- 447,378,+/- 426,"15,485","+/- 2,922",82,+/- 95,"2,297","+/- 1,139",0,+/- 190,"1,800",+/- 986,"5,612","+/- 1,271","1,061",+/- 831,589,+/- 598,"20,579","+/- 2,668","1,431",+/- 884,"1,957",+/- 799,460,+/- 371,0,+/- 190,"43,059",South_states
