Year,NAME,Home Value <$50k (%),Home Value $50k-$90k (%),Home Value $100k-$149k (%),Home Value $150k-$199k (%),Home Value $200k-$299k (%),Home Value $300k-$499k (%),Home Value $500k+ (%),Median Home Value ($)(1000X),2nd Mortgage or Equity Loan (%),2nd Mortgage Only (%),Equity Loan Only (%),Both 2nd & Equity Loan (%),No 2nd or Equity Loan (%),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Housing Cost (monthly) ($),Median Real Estate Taxes ($),Region,Population,Net Population Change,Net Migration,Net Migration Change
2012,Minnesota,3.3,10.6,19.3,22.1,24.4,15.1,5.2,186.1,22.5,6.5,16.1,0.7,76.8,1.4,4.7,5.2,11.0,21.4,19.2,22.0,15.0,82.353,1465,2302,2,5376643,30500,2114,0.394300511
2012,Mississippi,13.3,27.5,20.3,17.7,13.9,5.5,1.9,121.0,9.8,3.0,6.8,0.6,89.6,3.8,11.8,10.5,15.0,22.0,14.6,14.5,7.8,59.736999999999995,1031,918,3,2983816,5085,-5583,-1.872689641
2012,Missouri,7.1,21.5,23.4,19.1,17.2,8.5,3.2,145.5,14.9,4.4,10.5,0.5,84.6,2.4,7.9,8.2,13.8,23.8,17.2,16.8,9.9,67.99,1176,1481,2,6024367,14092,-5351,-0.88926617
2012,Montana,4.7,8.6,14.6,22.3,27.9,15.8,6.1,199.6,11.7,3.4,8.3,0.7,87.6,2.2,8.8,7.9,14.0,23.4,18.5,17.5,7.7,68.10300000000001,1233,1712,4,1003783,6467,3345,3.343162932
2012,Nebraska,6.3,21.3,29.3,18.5,15.6,6.8,2.2,138.0,13.8,4.4,9.4,0.6,85.6,1.4,6.0,6.2,12.9,24.1,19.0,19.8,10.4,74.12100000000001,1229,2568,2,1853303,12631,2176,1.178134665
2012,Nevada,5.0,19.2,24.1,19.6,18.7,9.6,3.9,153.4,16.1,6.2,9.9,0.8,83.1,2.4,7.4,8.4,13.1,22.0,17.1,18.7,11.0,71.02199999999999,1433,1503,4,2743996,31266,16760,6.142877616
2012,New Hampshire,2.2,4.2,9.4,18.1,36.7,23.6,5.9,241.3,20.8,3.8,17.0,0.5,78.7,1.3,5.3,4.1,9.2,19.5,19.0,23.7,17.9,88.49,1828,5236,1,1324232,4030,2345,1.7735364169999999
2012,New Jersey,1.2,2.4,5.4,10.6,26.4,34.6,19.4,318.4,20.8,3.5,17.3,0.9,78.3,1.4,4.1,4.1,7.4,15.5,15.9,24.2,27.4,101.70299999999999,2342,7312,1,8844942,16825,-18503,-2.093921601
2012,New Mexico,5.6,13.2,20.8,21.1,21.3,12.8,5.3,171.4,12.2,4.4,7.7,0.7,87.2,3.7,10.9,9.0,13.0,21.0,15.8,16.6,10.1,65.215,1193,1351,4,2087309,6859,-3597,-1.7261074840000001
2012,New York,2.9,10.9,11.1,10.1,15.0,27.6,22.4,299.7,18.9,2.6,16.3,0.7,80.4,1.7,5.4,5.1,9.0,17.9,16.5,22.6,21.9,90.92399999999999,1967,4669,1,19572932,73691,-18818,-0.963243073
2012,North Carolina,4.7,16.6,23.3,18.7,19.1,12.2,5.2,162.1,19.2,3.9,15.3,0.6,80.2,2.7,8.8,8.2,13.7,22.0,16.7,16.9,10.9,67.875,1209,1406,3,9749476,91884,51023,5.258187378
2012,North Dakota,8.1,14.9,21.0,21.0,22.3,10.5,2.2,161.6,13.3,3.8,9.5,0.5,86.2,1.1,4.4,5.5,11.3,21.4,21.3,22.6,12.4,81.73,1205,2099,2,701176,15951,11588,16.71666423
2012,Ohio,6.0,25.2,25.3,18.1,15.6,7.5,2.2,135.7,21.2,4.6,16.6,0.6,78.2,1.9,7.8,7.4,13.4,22.9,17.5,18.1,10.9,70.84899999999999,1215,2193,2,11548923,4260,-21690,-1.878443651
2012,Oklahoma,8.8,25.9,26.3,17.1,13.4,6.1,2.3,127.2,9.1,4.1,5.0,0.4,90.5,2.3,8.5,8.1,14.5,23.4,17.4,16.5,9.3,67.288,1111,1205,3,3818814,30435,14945,3.9291759789999996
