Region,NAME,Population 2010,Population 2011,Population 2012,Population 2013,Population 2014,Population 2015,Population 2016,Population 2017,Population 2018,Net Pop Chg 2010,Net Pop Chg 2011,Net Pop Chg 2012,Net Pop Chg 2013,Net Pop Chg 2014,Net Pop Chg 2015,Net Pop Chg 2016,Net Pop Chg 2017,Net Pop Chg 2018,Net Migration 2010,Net Migration 2011,Net Migration 2012,Net Migration 2013,Net Migration 2014,Net Migration 2015,Net Migration 2016,Net Migration 2017,Net Migration 2018,%Net Migration 2011,%Net Migration 2012,%Net Migration 2013,%Net Migration 2014,%Net Migration 2015,%Net Migration 2016,%Net Migration 2017,%Net Migration 2018
2,Illinois,12840503,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,8931,26951,15056,12619,-10636,-25580,-38386,-41699,-55757,-8461,-33876,-43686,-40418,-65886,-77601,-88670,-85114,-93439,-2.6354486280000002,-3.393092122,-3.135896193,-5.111479137,-6.0288059789999995,-6.905913836,-6.6496987910000005,-7.328003299
2,Indiana,6490432,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6381,26096,21175,31010,24931,14778,25882,23774,37419,-664,588,-3033,8676,1883,-6171,4600,6984,19003,0.090413133,-0.464676931,1.3239317290000001,0.28611896800000003,-0.934853681,0.6947210109999999,1.050827459,2.84612922
2,Iowa,3050745,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3874,15591,9854,16807,16353,11610,10411,10179,7068,903,5939,-547,7098,5857,1767,166,1941,-2064,1.941775824,-0.178102624,2.3011135830000002,1.8886398969999998,0.567226992,0.053100195999999995,0.618850453,-0.6562622810000001
2,Kansas,2858190,2869225,2885257,2893212,2900475,2909011,2910844,2908718,2911359,5067,11035,16032,7955,7263,8536,1833,-2126,2641,1138,-3903,1352,-6184,-6531,-3838,-10521,-12486,-7511,-1.3629185240000001,0.469894597,-2.140359324,-2.2545228969999997,-1.321287288,-3.615553996,-4.291044584,-2.581065508
3,Kentucky,4348181,4369821,4386346,4404659,4414349,4425976,4438182,4452268,4461153,8848,21640,16525,18313,9690,11627,12206,14086,8885,5551,8862,4220,6753,-2109,2142,3343,7852,1121,2.033034633,0.963892077,1.5363431140000001,-0.478285086,0.484597569,0.754273559,1.7663897780000002,0.25153081
3,Louisiana,4544532,4575625,4600972,4624527,4644013,4664628,4678135,4670560,4659690,11045,31093,25347,23555,19486,20615,13507,-7575,-10870,5308,9456,3561,4501,-1121,242,-6727,-24974,-24483,2.073648513,0.776104693,0.975773777,-0.241893545,0.0519947,-1.4400450919999999,-5.3427777889999994,-5.248090887
1,Maine,1327629,1328284,1327729,1328009,1330513,1328262,1331317,1334612,1339057,-729,655,-555,280,2504,-2251,3055,3295,4445,-1015,1099,-396,959,3314,-630,4626,5443,6642,0.8275873490000001,-0.298191312,0.7222097959999999,2.493114595,-0.473902455,3.478746072,4.083379565,4.968453462
3,Maryland,5788645,5839419,5886992,5923188,5957283,5985562,6003323,6023868,6035802,14851,50774,47573,36196,34095,28279,17761,20545,11934,7396,21004,19100,10142,6647,1645,-8296,-1437,-8544,3.612639215,3.257603712,1.7175013419999998,1.118979206,0.27547874899999997,-1.383948549,-0.23895854,-1.416954195
1,Massachusetts,6566307,6613583,6663005,6713315,6762596,6794228,6823608,6859789,6882635,18522,47276,49422,50310,49281,31632,29380,36181,22846,12435,28245,30496,33783,33166,17709,14092,23785,11129,4.286075225,4.593951398,5.051165043999999,4.922264625,2.612558812,2.069638671,3.4764759069999998,1.619656037
2,Michigan,9877510,9882412,9897145,9913065,9929848,9931715,9950571,9973114,9984072,-6606,4902,14733,15920,16783,1867,18856,22543,10958,-14053,-19283,-9045,-4999,-5336,-15172,573,7780,-2994,-1.951728352,-0.914580645,-0.504689249,-0.53782426,-1.52777503,0.057639247000000005,0.780980025,-0.300042301
2,Minnesota,5310828,5346143,5376643,5413479,5451079,5482032,5522744,5566230,5606249,6901,35315,30500,36836,37600,30953,40712,43486,40019,-1100,6958,2114,9621,9176,4535,13722,18135,15822,1.305811942,0.394300511,1.783297724,1.689162136,0.8295900409999999,2.493826317,3.270816579,2.8323168030000003
