Current residence in --,Population (1yr ago) Est,MOE,Same house (1yr ago) Est,MOE,Same state of residence (1yr ago) Est,MOE,Different state of residence (1yr ago) Total Est,MOE,Alabama,MOE,Alaska,MOE,Arizona,MOE,Arkansas,MOE,California,MOE,Colorado,MOE,Connecticut,MOE,Delaware,MOE,District of Columbia ,MOE,Florida,MOE,Georgia,MOE,Hawaii,MOE,Idaho,MOE,Illinois,MOE,Indiana,MOE,Iowa,MOE,Kansas,MOE,Kentucky,MOE,Louisiana,MOE,Maine,MOE,Maryland,MOE,Massachusetts,MOE,Michigan,MOE,Minnesota,MOE,Mississippi,MOE,Missouri,MOE,Montana,MOE,Nebraska,MOE,Nevada,MOE,New Hampshire,MOE,New Jersey,MOE,New Mexico,MOE,New York,MOE,North Carolina,MOE,North Dakota,MOE,Ohio,MOE,Oklahoma,MOE,Oregon,MOE,Pennsylvania,MOE,Rhode Island,MOE,South Carolina,MOE,South Dakota,MOE,Tennessee,MOE,Texas,MOE,Utah,MOE,Vermont,MOE,Virginia,MOE,Washington,MOE,West Virginia,MOE,Wisconsin,MOE,Wyoming,MOE,Abroad(1yr ago) Est,Region
Florida,"20,068,392","+/- 6,492","16,832,374","+/- 48,927","2,438,828","+/- 43,407","584,938","+/- 21,044","15,449","+/- 3,737","1,553","+/- 1,395","7,168","+/- 1,949","6,850","+/- 3,104","21,217","+/- 3,130","9,206","+/- 2,120","14,887","+/- 2,402","1,685",+/- 946,"1,512",+/- 892,N/A,N/A,"38,654","+/- 4,969","2,978","+/- 1,527",846,+/- 576,"26,406","+/- 5,024","13,396","+/- 2,729","3,142","+/- 1,031","3,648","+/- 1,682","10,036","+/- 2,738","6,560","+/- 3,205","5,178","+/- 1,920","16,449","+/- 3,351","16,651","+/- 2,624","26,138","+/- 4,616","5,433","+/- 1,621","5,415","+/- 2,262","10,480","+/- 2,549","1,150","+/- 1,100","1,706","+/- 1,131","6,008","+/- 2,573","5,175","+/- 1,551","29,390","+/- 4,546","3,762","+/- 1,525","69,289","+/- 8,181","24,003","+/- 3,844","1,363",+/- 770,"27,403","+/- 3,742","2,710","+/- 1,292","1,568","+/- 1,346","28,826","+/- 4,924","2,523","+/- 1,026","13,949","+/- 3,220","1,400","+/- 1,054","19,864","+/- 5,112","29,706","+/- 4,860","1,932",+/- 984,"1,480",+/- 663,"23,377","+/- 4,315","3,819","+/- 1,819","3,479","+/- 1,574","9,195","+/- 3,179",924,+/- 867,"212,252",South_states
Georgia,"10,088,525","+/- 6,934","8,489,689","+/- 34,028","1,259,007","+/- 33,617","283,325","+/- 17,018","16,372","+/- 3,924",669,+/- 572,"1,713",+/- 803,"1,668",+/- 760,"15,675","+/- 5,111","4,456","+/- 1,590","1,995","+/- 1,109",205,+/- 142,652,+/- 540,"47,286","+/- 6,915",N/A,N/A,995,+/- 604,230,+/- 269,"9,960","+/- 3,269","5,212","+/- 2,456",908,+/- 628,"2,614","+/- 1,386","5,313","+/- 1,849","3,277","+/- 1,425",735,+/- 557,"4,328","+/- 1,352","2,496","+/- 1,782","5,744","+/- 1,604","3,078","+/- 2,374","4,395","+/- 2,358","4,897","+/- 2,184",185,+/- 186,"1,010",+/- 852,"2,526","+/- 1,884",649,+/- 288,"7,403","+/- 2,372","1,122",+/- 674,"14,853","+/- 3,543","16,095","+/- 4,190",0,+/- 214,"7,840","+/- 2,242","1,543",+/- 844,"1,528","+/- 1,366","6,493","+/- 2,666",205,+/- 281,"17,395","+/- 4,078",0,+/- 214,"18,087","+/- 4,532","16,078","+/- 3,510","1,523","+/- 1,233",157,+/- 251,"15,852","+/- 5,993","2,377","+/- 1,200","1,300",+/- 818,"3,352","+/- 1,903",879,"+/- 1,332","56,504",South_states
Hawaii,"1,414,355","+/- 1,729","1,206,066","+/- 10,201","136,796","+/- 9,374","53,742","+/- 4,403",240,+/- 269,164,+/- 247,"2,701","+/- 1,480",194,+/- 234,"10,952","+/- 2,608","1,618",+/- 760,781,+/- 640,0,+/- 182,159,+/- 267,"2,013",+/- 841,"1,231",+/- 708,N/A,N/A,359,+/- 364,"1,936",+/- 792,471,+/- 483,308,+/- 282,917,+/- 721,"1,108",+/- 662,455,+/- 495,255,+/- 391,654,+/- 450,601,+/- 469,834,+/- 547,733,+/- 540,164,+/- 248,633,+/- 507,98,+/- 129,191,+/- 213,"1,193",+/- 624,80,+/- 141,524,+/- 427,115,+/- 127,"2,191","+/- 1,044","2,486","+/- 1,345",0,+/- 182,539,+/- 440,"1,041",+/- 693,"2,244",+/- 859,981,+/- 594,429,+/- 357,"1,214",+/- 815,0,+/- 182,331,+/- 285,"2,031",+/- 908,"1,707","+/- 1,591",0,+/- 182,"3,402","+/- 1,574","3,176","+/- 1,025",130,+/- 211,158,+/- 186,0,+/- 182,"17,751",West_states
Idaho,"1,635,366","+/- 2,042","1,333,758","+/- 15,568","218,791","+/- 12,436","73,809","+/- 7,373",564,+/- 472,"1,061",+/- 459,"3,152","+/- 1,450","1,441","+/- 2,052","18,928","+/- 3,670","3,659","+/- 2,412",127,+/- 148,0,+/- 193,0,+/- 193,"1,864",+/- 978,"1,079","+/- 1,136",0,+/- 193,N/A,N/A,857,+/- 485,147,+/- 137,120,+/- 116,"1,201",+/- 889,792,+/- 864,240,+/- 252,128,+/- 213,170,+/- 81,457,+/- 324,100,+/- 133,533,+/- 419,0,+/- 193,"1,864","+/- 1,710","1,466",+/- 650,0,+/- 193,"1,891",+/- 788,119,+/- 190,27,+/- 27,391,+/- 346,"1,003",+/- 846,226,+/- 179,833,+/- 696,563,+/- 405,567,+/- 864,"7,295","+/- 2,489",217,+/- 180,0,+/- 193,196,+/- 158,152,+/- 200,419,+/- 308,"2,959","+/- 1,058","6,625","+/- 1,633",343,+/- 342,689,+/- 494,"6,499","+/- 2,070",441,+/- 481,122,+/- 162,"2,282","+/- 1,169","9,008",West_states
Illinois,"12,706,393","+/- 5,951","11,029,917","+/- 29,927","1,399,829","+/- 28,665","209,828","+/- 10,119","1,853",+/- 763,350,+/- 380,"6,776","+/- 1,700","1,452",+/- 928,"18,953","+/- 2,204","3,998","+/- 1,098","1,473",+/- 691,171,+/- 171,"1,050",+/- 708,"11,428","+/- 2,136","5,581","+/- 1,420","1,697","+/- 1,245",474,+/- 434,N/A,N/A,"14,473","+/- 2,641","9,969","+/- 1,965","1,267",+/- 913,"2,654",+/- 995,"2,022","+/- 1,320",563,+/- 457,"2,549",+/- 813,"3,460","+/- 1,060","11,936","+/- 2,521","4,832","+/- 1,498","2,503","+/- 1,090","15,395","+/- 2,923",636,+/- 406,"1,791",+/- 990,"2,266","+/- 1,051",170,+/- 197,"3,259","+/- 1,382",757,+/- 522,"6,923","+/- 1,929","4,458","+/- 1,263",418,+/- 296,"10,281","+/- 2,608","2,549","+/- 1,138","1,838",+/- 877,"4,810","+/- 1,579",438,+/- 488,"1,805","+/- 1,398",295,+/- 286,"5,566","+/- 2,146","11,719","+/- 2,841",607,+/- 492,302,+/- 243,"5,804","+/- 1,499","3,377","+/- 1,242",808,+/- 572,"11,785","+/- 2,499",287,+/- 322,"66,819",Midwest_states
Indiana,"6,540,691","+/- 4,312","5,527,512","+/- 24,338","843,210","+/- 22,453","147,529","+/- 10,054","2,130",+/- 946,0,+/- 189,"2,871","+/- 1,205",640,+/- 492,"6,407","+/- 1,699","2,271","+/- 1,046",681,+/- 461,105,+/- 123,71,+/- 106,"7,523","+/- 1,864","3,710","+/- 1,319",405,+/- 492,"1,176",+/- 874,"34,221","+/- 4,574",N/A,N/A,514,+/- 409,"1,037",+/- 599,"13,386","+/- 3,039",968,+/- 713,698,+/- 728,811,+/- 496,"1,172",+/- 932,"11,465","+/- 2,827","1,620",+/- 963,646,+/- 434,"3,176","+/- 1,240",970,"+/- 1,155",874,+/- 955,"2,359","+/- 2,401",116,+/- 184,"2,120","+/- 1,348",802,+/- 656,"3,175","+/- 1,204","2,802","+/- 1,320",887,"+/- 1,030","12,940","+/- 2,800","1,244",+/- 808,100,+/- 166,"2,827","+/- 1,488",166,+/- 286,577,+/- 388,130,+/- 162,"3,491","+/- 1,293","5,878","+/- 1,935",709,+/- 558,168,+/- 181,"2,886","+/- 1,219","1,210",+/- 727,29,+/- 57,"3,193","+/- 1,498",172,+/- 247,"22,440",Midwest_states
Iowa,"3,081,446","+/- 2,995","2,598,298","+/- 16,346","386,465","+/- 12,421","85,937","+/- 7,418",285,+/- 188,734,+/- 623,"3,069","+/- 1,735","1,926","+/- 1,343","2,899",+/- 895,"2,158",+/- 758,173,+/- 152,0,+/- 155,112,+/- 199,"3,498","+/- 3,104","1,449",+/- 733,360,+/- 348,665,+/- 470,"19,702","+/- 2,603","1,564",+/- 818,N/A,N/A,"1,090",+/- 591,194,+/- 184,604,+/- 293,137,+/- 167,287,+/- 224,487,+/- 647,730,+/- 434,"8,401","+/- 1,581",433,+/- 262,"4,932","+/- 1,401",123,+/- 111,"7,216","+/- 1,852",659,+/- 604,269,+/- 284,698,+/- 480,403,+/- 364,295,+/- 196,852,+/- 613,287,+/- 289,"2,013",+/- 986,"1,391","+/- 1,126",605,+/- 391,154,+/- 165,95,+/- 118,875,+/- 829,"1,535",+/- 579,"1,747","+/- 1,091","4,325","+/- 1,485",77,+/- 72,95,+/- 133,834,+/- 454,"2,086","+/- 1,350",45,+/- 56,"3,140","+/- 1,064",229,+/- 180,"10,746",Midwest_states
Kansas,"2,875,640","+/- 2,522","2,405,677","+/- 14,673","360,715","+/- 11,629","91,340","+/- 7,226",717,+/- 468,201,+/- 214,"2,079","+/- 1,028","1,504",+/- 722,"6,137","+/- 2,040","5,327","+/- 1,480",436,+/- 406,340,+/- 481,125,+/- 203,"3,364","+/- 1,317","2,002",+/- 974,457,+/- 392,76,+/- 98,"2,870",+/- 946,"1,470","+/- 1,083","2,970","+/- 1,601",N/A,N/A,"1,612",+/- 862,458,+/- 335,145,+/- 183,815,+/- 665,621,+/- 713,"2,205","+/- 2,241",729,+/- 606,20,+/- 36,"21,840","+/- 3,292",6,+/- 11,"3,138","+/- 1,491",460,+/- 627,189,+/- 266,759,+/- 656,"1,425",+/- 859,"1,665","+/- 1,078","1,982",+/- 970,7,+/- 14,"1,085",+/- 672,"4,626","+/- 1,299",673,+/- 406,"1,412",+/- 753,0,+/- 168,683,+/- 548,95,+/- 153,"1,928",+/- 858,"7,577","+/- 2,424","1,767","+/- 1,260",0,+/- 168,"1,053",+/- 558,"1,548",+/- 939,160,+/- 262,189,+/- 156,393,+/- 365,"17,908",Midwest_states
Kentucky,"4,373,403","+/- 3,381","3,706,705","+/- 22,052","543,811","+/- 20,127","106,918","+/- 8,171","1,463",+/- 712,237,+/- 191,772,+/- 571,516,+/- 404,"4,828","+/- 1,810","1,510",+/- 566,371,+/- 286,391,+/- 571,211,+/- 207,"7,031","+/- 2,050","4,830","+/- 1,949",373,+/- 448,0,+/- 187,"4,776","+/- 1,267","9,982","+/- 1,892",750,+/- 333,"1,976","+/- 1,178",N/A,N/A,280,+/- 337,477,+/- 431,"2,040","+/- 1,283","1,197",+/- 844,"2,617",+/- 966,509,+/- 382,528,+/- 319,"1,731",+/- 836,0,+/- 187,894,+/- 771,404,+/- 399,22,+/- 87,273,+/- 254,463,+/- 456,"3,383","+/- 1,482","3,622","+/- 1,199",49,+/- 67,"14,779","+/- 2,717",786,"+/- 1,080","1,143",+/- 812,"3,135","+/- 1,294",0,+/- 187,"1,967",+/- 978,0,+/- 187,"12,533","+/- 2,778","5,595","+/- 1,696",327,+/- 373,0,+/- 187,"2,015",+/- 927,"1,668",+/- 931,"3,349","+/- 1,423",590,+/- 389,525,+/- 827,"15,969",South_states
Louisiana,"4,612,024","+/- 4,460","4,007,364","+/- 20,659","496,223","+/- 18,619","93,321","+/- 7,854","3,318","+/- 1,942",101,+/- 113,279,+/- 427,"2,993","+/- 1,302","7,318","+/- 2,092","1,178",+/- 658,164,+/- 173,15,+/- 36,92,+/- 145,"5,404","+/- 1,421","4,077","+/- 1,493",302,+/- 395,60,+/- 100,"2,942","+/- 1,212","1,120",+/- 629,457,+/- 305,"1,115","+/- 1,475","2,009","+/- 1,884",N/A,N/A,47,+/- 65,"1,149",+/- 675,837,+/- 611,"1,776",+/- 939,592,+/- 453,"11,095","+/- 2,967",738,+/- 519,57,+/- 95,112,+/- 133,731,+/- 459,51,+/- 85,"1,715","+/- 1,088",524,+/- 358,"4,417","+/- 1,806","2,292","+/- 1,158",205,+/- 346,"1,492",+/- 791,"2,282","+/- 1,613",112,+/- 140,"1,831","+/- 1,315",161,+/- 195,"1,505","+/- 1,034",0,+/- 204,"2,957","+/- 1,218","19,863","+/- 3,205",180,+/- 234,0,+/- 204,"1,732","+/- 1,048","1,486",+/- 706,90,+/- 143,322,+/- 313,26,+/- 60,"15,116",South_states
