Current residence in --,Population (1yr ago) Est,MOE,Same house (1yr ago) Est,MOE,Same state of residence (1yr ago) Est,MOE,Different state of residence (1yr ago) Total Est,MOE,Alabama,MOE,Alaska,MOE,Arizona,MOE,Arkansas,MOE,California,MOE,Colorado,MOE,Connecticut,MOE,Delaware,MOE,District of Columbia ,MOE,Florida,MOE,Georgia,MOE,Hawaii,MOE,Idaho,MOE,Illinois,MOE,Indiana,MOE,Iowa,MOE,Kansas,MOE,Kentucky,MOE,Louisiana,MOE,Maine,MOE,Maryland,MOE,Massachusetts,MOE,Michigan,MOE,Minnesota,MOE,Mississippi,MOE,Missouri,MOE,Montana,MOE,Nebraska,MOE,Nevada,MOE,New Hampshire,MOE,New Jersey,MOE,New Mexico,MOE,New York,MOE,North Carolina,MOE,North Dakota,MOE,Ohio,MOE,Oklahoma,MOE,Oregon,MOE,Pennsylvania,MOE,Rhode Island,MOE,South Carolina,MOE,South Dakota,MOE,Tennessee,MOE,Texas,MOE,Utah,MOE,Vermont,MOE,Virginia,MOE,Washington,MOE,West Virginia,MOE,Wisconsin,MOE,Wyoming,MOE,Abroad(1yr ago) Est,Region
Florida,"18,647,600","+/- 7,733","15,554,008","+/- 45,602","2,459,530","+/- 38,387","482,889","+/- 22,701","15,830","+/- 3,829","5,887","+/- 2,502","3,907","+/- 1,463","3,611","+/- 1,562","22,130","+/- 3,867","6,428","+/- 1,941","11,183","+/- 2,730","3,099","+/- 1,603","1,110",+/- 564,N/A,N/A,"35,615","+/- 5,500","2,021",+/- 990,884,+/- 747,"17,432","+/- 3,007","9,030","+/- 2,849","2,921","+/- 1,091","4,136","+/- 2,062","6,321","+/- 1,902","7,232","+/- 2,781","5,497","+/- 1,861","13,241","+/- 2,929","13,900","+/- 2,269","21,359","+/- 4,622","5,439","+/- 2,349","7,929","+/- 3,596","7,984","+/- 2,232",338,+/- 289,"1,544","+/- 1,314","7,050","+/- 3,281","3,645","+/- 1,193","22,344","+/- 3,256",900,+/- 872,"55,011","+/- 6,848","19,108","+/- 3,464",794,+/- 720,"21,047","+/- 3,825","3,466","+/- 1,518","1,655","+/- 1,187","19,935","+/- 3,976","1,982",+/- 813,"10,759","+/- 2,906",430,+/- 473,"12,882","+/- 2,482","24,039","+/- 5,038","2,833","+/- 1,249","1,442",+/- 935,"20,080","+/- 4,137","3,573","+/- 1,239","5,634","+/- 2,872","8,081","+/- 2,929",191,+/- 258,"151,173",South_states
Georgia,"9,587,237","+/- 5,924","8,015,409","+/- 37,393","1,278,548","+/- 36,794","249,459","+/- 15,858","13,840","+/- 2,473","3,645","+/- 1,932","2,554","+/- 1,303",599,+/- 436,"8,909","+/- 2,412","3,224","+/- 2,058","2,619","+/- 1,473",837,+/- 753,"1,708","+/- 1,278","49,901","+/- 5,558",N/A,N/A,"1,040",+/- 658,414,+/- 478,"9,736","+/- 3,665","2,649","+/- 1,023","1,096",+/- 821,"1,355","+/- 1,097","6,525","+/- 2,248","3,645","+/- 1,604",0,+/- 300,"5,382","+/- 1,767","3,910","+/- 2,127","6,857","+/- 1,831","1,169",+/- 718,"2,380",+/- 959,"3,072","+/- 1,087",52,+/- 92,148,+/- 139,"1,155",+/- 684,162,+/- 161,"4,151","+/- 1,203",826,+/- 509,"12,472","+/- 2,568","15,361","+/- 3,426",0,+/- 300,"9,323","+/- 2,446","2,070","+/- 1,458",843,+/- 626,"6,294","+/- 1,914",43,+/- 70,"15,562","+/- 3,592",557,+/- 540,"14,445","+/- 3,273","11,424","+/- 2,574",380,+/- 291,361,+/- 458,"8,393","+/- 2,087","4,495","+/- 2,034",358,+/- 295,"3,416","+/- 2,022",102,+/- 118,"43,821",South_states
Hawaii,"1,346,274","+/- 1,690","1,140,572","+/- 10,422","134,315","+/- 9,295","53,581","+/- 6,065",749,+/- 542,743,+/- 609,"1,398",+/- 849,0,+/- 275,"12,677","+/- 2,325","1,073",+/- 667,307,+/- 392,0,+/- 275,0,+/- 275,"4,599","+/- 2,610","2,013","+/- 1,185",N/A,N/A,42,+/- 70,715,+/- 412,192,+/- 209,68,+/- 118,387,+/- 345,95,+/- 159,88,+/- 151,89,+/- 145,990,+/- 737,"1,283",+/- 944,627,+/- 548,476,+/- 350,234,+/- 368,170,+/- 171,150,+/- 261,0,+/- 275,"1,925","+/- 1,184",496,+/- 685,443,+/- 417,11,+/- 19,"1,339",+/- 794,"1,510",+/- 994,69,+/- 116,625,+/- 515,57,+/- 94,"1,834",+/- 958,553,+/- 478,644,+/- 829,322,+/- 378,267,+/- 380,142,+/- 205,"6,694","+/- 2,760",467,+/- 369,0,+/- 275,"2,644","+/- 1,136","2,705",+/- 883,483,+/- 782,"1,168","+/- 1,133",18,+/- 33,"17,806",West_states
Idaho,"1,550,967","+/- 1,954","1,279,856","+/- 12,606","209,272","+/- 10,887","55,638","+/- 6,079",376,+/- 369,"3,264","+/- 1,813","3,086","+/- 2,015",45,+/- 73,"8,932","+/- 2,415","1,372",+/- 867,0,+/- 267,0,+/- 267,144,+/- 233,612,+/- 508,313,+/- 280,123,+/- 206,N/A,N/A,169,+/- 236,132,+/- 133,773,+/- 470,422,+/- 415,315,+/- 272,59,+/- 102,202,+/- 272,44,+/- 73,115,+/- 135,427,+/- 363,465,+/- 613,37,+/- 61,425,+/- 345,"1,509",+/- 584,0,+/- 267,"2,110","+/- 1,061",109,+/- 147,97,+/- 148,694,+/- 811,155,+/- 169,134,+/- 164,96,+/- 112,325,+/- 261,711,+/- 702,"3,202","+/- 1,259",172,+/- 206,0,+/- 267,0,+/- 267,296,+/- 375,"1,153",+/- 995,"1,746",+/- 951,"8,014","+/- 2,403",0,+/- 267,611,+/- 662,"10,876","+/- 2,438",133,+/- 158,233,+/- 292,"1,410",+/- 723,"6,201",West_states
Illinois,"12,680,126","+/- 5,467","11,009,852","+/- 32,636","1,404,525","+/- 28,126","203,959","+/- 11,573","1,397",+/- 596,"1,764","+/- 1,078","5,921","+/- 1,897","1,194",+/- 665,"16,205","+/- 3,236","3,850","+/- 1,360","2,264","+/- 1,125",56,+/- 57,"1,047",+/- 581,"8,051","+/- 1,715","6,781","+/- 2,524","1,224",+/- 776,313,+/- 258,N/A,N/A,"21,918","+/- 4,147","9,141","+/- 1,866","1,970",+/- 991,"2,921",+/- 831,"1,419",+/- 687,55,+/- 93,"1,985","+/- 1,210","2,811","+/- 1,111","11,865","+/- 2,138","4,300","+/- 1,815","1,093",+/- 861,"16,703","+/- 3,325",928,+/- 937,546,+/- 373,"2,541","+/- 1,214",206,+/- 202,"2,331","+/- 1,262",996,+/- 709,"8,479","+/- 2,555","5,504","+/- 2,479","1,112",+/- 788,"5,103","+/- 1,201","1,459",+/- 777,"1,224",+/- 789,"5,190","+/- 1,822",838,+/- 643,"1,565",+/- 787,292,+/- 264,"3,999","+/- 1,131","12,245","+/- 3,113",658,+/- 427,260,+/- 257,"3,831","+/- 1,241","1,642",+/- 707,812,+/- 523,"15,364","+/- 2,866",586,+/- 432,"61,790",Midwest_states
Indiana,"6,414,862","+/- 4,257","5,431,015","+/- 24,897","833,086","+/- 22,796","127,353","+/- 8,463","1,502","+/- 1,110",177,+/- 143,"2,210",+/- 914,"1,548","+/- 1,104","8,959","+/- 2,863","1,362",+/- 658,544,+/- 404,0,+/- 267,181,+/- 156,"5,496","+/- 1,564","1,623",+/- 913,267,+/- 316,772,+/- 604,"27,950","+/- 4,658",N/A,N/A,"1,885","+/- 1,191","1,582",+/- 996,"10,643","+/- 2,402",749,+/- 599,30,+/- 50,"1,641",+/- 950,103,+/- 135,"9,361","+/- 1,837",916,+/- 385,270,+/- 255,"3,893","+/- 2,531",164,+/- 201,705,+/- 654,227,+/- 239,114,+/- 134,"1,876","+/- 1,526",188,+/- 229,"2,564",+/- 952,"2,828","+/- 1,141",0,+/- 267,"13,272","+/- 2,750",681,+/- 563,423,+/- 380,"2,668","+/- 1,128",174,+/- 284,584,+/- 405,216,+/- 258,"3,093","+/- 1,261","6,335","+/- 1,643",444,+/- 432,45,+/- 73,"3,673","+/- 1,633",571,+/- 340,669,+/- 562,"1,762",+/- 893,413,+/- 403,"23,408",Midwest_states
Iowa,"3,013,053","+/- 2,381","2,553,210","+/- 15,158","375,650","+/- 12,448","72,557","+/- 5,707",330,+/- 202,519,+/- 407,"1,483",+/- 623,247,+/- 190,"2,847","+/- 1,227","2,554",+/- 865,114,+/- 155,0,+/- 228,53,+/- 85,"1,364",+/- 573,973,+/- 472,866,+/- 651,315,+/- 415,"17,016","+/- 2,840","1,710",+/- 917,N/A,N/A,"1,520",+/- 741,334,+/- 377,315,+/- 384,0,+/- 228,134,+/- 156,189,+/- 175,"1,439",+/- 652,"7,564","+/- 1,722",117,+/- 138,"6,031","+/- 2,253",836,+/- 743,"4,783","+/- 1,799",623,+/- 371,381,+/- 531,472,+/- 405,492,+/- 490,273,+/- 270,"1,123",+/- 744,601,+/- 617,632,+/- 421,679,+/- 491,"1,071",+/- 568,378,+/- 242,0,+/- 228,591,+/- 442,"1,992",+/- 980,"1,617","+/- 1,222","4,131","+/- 1,470",146,+/- 156,45,+/- 81,303,+/- 329,538,+/- 365,0,+/- 228,"2,705","+/- 1,206",111,+/- 119,"11,636",Midwest_states
Kansas,"2,820,894","+/- 2,731","2,341,401","+/- 17,752","372,161","+/- 15,608","95,059","+/- 7,804",44,+/- 75,"1,050",+/- 697,"2,238",+/- 878,"1,596","+/- 1,073","6,125","+/- 1,459","6,022","+/- 2,519",85,+/- 140,238,+/- 275,0,+/- 248,"2,863","+/- 1,848","1,916","+/- 1,039",128,+/- 154,398,+/- 407,"2,943","+/- 1,096","1,544",+/- 859,"1,875","+/- 1,184",N/A,N/A,"1,048","+/- 1,402",890,+/- 580,0,+/- 248,"1,369","+/- 1,103",100,+/- 120,806,+/- 457,"1,562","+/- 1,147",167,+/- 146,"23,384","+/- 3,524",289,+/- 318,"2,678",+/- 875,"1,318","+/- 1,245",76,+/- 130,"1,743","+/- 1,236",873,+/- 580,"2,390","+/- 1,235","1,083",+/- 649,225,+/- 373,"1,509","+/- 1,127","7,568","+/- 2,302",514,+/- 610,563,+/- 537,39,+/- 79,137,+/- 211,352,+/- 227,"1,152",+/- 821,"9,217","+/- 2,824",238,+/- 298,75,+/- 126,"1,648",+/- 934,"1,175",+/- 792,0,+/- 248,"1,233",+/- 898,573,+/- 531,"12,273",Midwest_states
Kentucky,"4,296,639","+/- 3,389","3,638,259","+/- 20,337","519,887","+/- 18,955","118,443","+/- 8,947","2,161",+/- 871,"3,017","+/- 2,024","2,598","+/- 1,483",558,+/- 547,"3,779","+/- 1,387",329,+/- 363,698,+/- 710,38,+/- 64,147,+/- 210,"10,119","+/- 2,893","6,397","+/- 2,093",520,+/- 520,71,+/- 119,"4,659","+/- 1,887","11,906","+/- 2,334",656,+/- 788,"1,109","+/- 1,031",N/A,N/A,437,+/- 435,0,+/- 271,"1,395",+/- 995,"1,036",+/- 738,"4,672","+/- 1,897",930,+/- 781,"1,442",+/- 917,"3,153","+/- 1,147",0,+/- 271,858,+/- 809,76,+/- 129,0,+/- 271,"1,147",+/- 807,122,+/- 189,"2,057","+/- 1,057","3,758","+/- 1,216",0,+/- 271,"15,598","+/- 2,549","1,153",+/- 900,181,+/- 220,"2,618","+/- 1,480",289,+/- 381,"1,286",+/- 741,163,+/- 262,"11,153","+/- 3,003","5,758","+/- 1,631",905,+/- 721,525,+/- 515,"3,671","+/- 1,981",716,+/- 599,"2,297","+/- 1,276","1,993","+/- 1,413",292,+/- 462,"20,050",South_states
Louisiana,"4,483,529","+/- 3,720","3,826,390","+/- 25,103","547,291","+/- 22,645","97,889","+/- 8,319","5,740","+/- 2,537","1,504",+/- 922,"1,960","+/- 1,204","2,382","+/- 1,114","5,751","+/- 1,933","1,215",+/- 567,89,+/- 120,0,+/- 281,264,+/- 228,"9,394","+/- 2,799","5,766","+/- 1,868",342,+/- 502,202,+/- 205,"2,131","+/- 1,394",948,+/- 651,625,+/- 656,706,+/- 483,"1,656","+/- 1,093",N/A,N/A,162,+/- 269,963,+/- 699,995,+/- 702,"1,301",+/- 886,569,+/- 513,"7,032","+/- 2,217","2,852","+/- 1,534",40,+/- 72,119,+/- 193,"1,552",+/- 785,462,+/- 427,171,+/- 249,294,+/- 256,"2,161",+/- 822,"1,443",+/- 686,438,+/- 514,"1,100",+/- 774,"1,074",+/- 675,281,+/- 277,"1,350",+/- 747,0,+/- 281,"1,130",+/- 706,0,+/- 281,"1,853",+/- 621,"26,134","+/- 3,903",473,+/- 380,0,+/- 281,"1,278",+/- 733,"1,509","+/- 1,126",210,+/- 254,237,+/- 229,31,+/- 67,"11,959",South_states
